,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK,YEAR
89,"Isaac Hamilton, G",UCLA,3,30.7,15,5.0,7,2.3,6.5,2.14,90,2017
90,"Pookie Powell, G",LAS,3,34.3,15,5.0,3,1.0,5.8,5.00,91,2017
91,"JoJo Cooper, G",WAG,3,33.7,15,5.0,7,2.3,5.9,2.14,92,2017
92,"Skylar Mays, G",LSU,3,19.7,15,5.0,6,2.0,10.2,2.50,93,2017
93,"Shaq Carr, G",GCU,3,32.3,15,5.0,14,4.7,6.2,1.07,94,2017
94,"Sam Singer, G",CAL,2,35.5,10,5.0,2,1.0,5.6,5.00,95,2017
95,"Paris Lee, G",ILST,2,31.0,10,5.0,11,5.5,6.5,0.91,96,2017
96,"Justin Cousin, G",RAD,2,26.0,10,5.0,3,1.5,7.7,3.33,97,2017
97,"Jevon Carter, G",WVU,2,28.0,10,5.0,1,0.5,7.1,10.00,98,2017
98,"Carlbe Ervin II, G",KSU,2,21.0,10,5.0,1,0.5,9.5,10.00,99,2017
99,"Tre'Darius McCallum, F",DEP,2,30.5,10,5.0,4,2.0,6.6,2.50,100,2017
