,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK,YEAR
30,"Tony Akins, G",GT,31,34.3,176,5.7,102,3.3,6.6,1.73,31,2002
31,"Adam Quick, G",PORT,30,33.6,170,5.7,106,3.5,6.8,1.60,32,2002
32,"Nick Mitchell, G",GRAM,26,29.2,142,5.5,77,3.0,7.5,1.84,33,2002
33,"Eric Bush, G",UAB,30,32.5,163,5.4,105,3.5,6.7,1.55,34,2002
34,"Casey Rogers, G",WCU,28,27.5,151,5.4,86,3.1,7.8,1.76,35,2002
35,"Jason Williams, G",DUKE,32,33.8,172,5.4,122,3.8,6.4,1.41,36,2002
36,"Mark Allaria, G",EVAN,28,34.0,150,5.4,79,2.8,6.3,1.90,37,2002
37,"Rahsaan Johnson, G",MONM,29,36.4,155,5.3,119,4.1,5.9,1.30,38,2002
38,"Jair Peralta, G",UTM,29,29.2,155,5.3,88,3.0,7.3,1.76,39,2002
39,"Larry Reid, G",KSU,28,35.2,149,5.3,99,3.5,6.0,1.51,40,2002
40,"Elliott Prasse-Freeman, G",HARV,26,31.7,138,5.3,123,4.7,6.7,1.12,41,2002
41,"Kirk Hinrich, G",KU,32,32.1,168,5.3,85,2.7,6.5,1.98,42,2002
42,"Eric Schmieder, G",DREX,28,36.9,147,5.3,62,2.2,5.7,2.37,43,2002
43,"Brian Allen, G",TOWS,28,30.4,147,5.3,150,5.4,6.9,0.98,44,2002
44,"Marcus Taylor, G",MSU,28,34.3,147,5.3,91,3.3,6.1,1.62,45,2002
45,"Antawn Dobie, G",LIU,26,34.8,136,5.2,115,4.4,6.0,1.18,46,2002
46,"Brooks Lee, G",CAMP,27,27.5,141,5.2,90,3.3,7.6,1.57,47,2002
47,"Chauncey Bryant, G",MCNS,29,29.0,151,5.2,72,2.5,7.2,2.10,48,2002
48,"Taliek Brown, G",CONN,30,31.1,156,5.2,103,3.4,6.7,1.51,49,2002
49,"Antonio Burks, G",MEM,31,29.4,160,5.2,61,2.0,7.0,2.62,50,2002
50,"Greg Harrington, G",TLSA,32,31.8,165,5.2,89,2.8,6.5,1.85,51,2002
51,"James Thues, G",SYR,31,31.4,159,5.1,75,2.4,6.5,2.12,52,2002
52,"Julian Blanks, G",LAS,32,34.6,164,5.1,115,3.6,5.9,1.43,53,2002
53,"Markus Carr, G",CSN,28,32.5,143,5.1,107,3.8,6.3,1.34,54,2002
54,"Luke Ridnour, G",ORE,31,34.2,157,5.1,90,2.9,5.9,1.74,55,2002
55,"Steve Logan, G",CIN,33,34.0,167,5.1,81,2.5,6.0,2.06,56,2002
56,"Ryan Patton, G",YSU,28,34.6,141,5.0,93,3.3,5.8,1.52,57,2002
57,"Andre Barrett, G",HALL,30,34.5,151,5.0,83,2.8,5.8,1.82,58,2002
58,"Luke Spencer-Gardner, G",ORU,31,33.8,155,5.0,73,2.4,5.9,2.12,59,2002
59,"Eddie Robinson, G",LAM,29,32.7,145,5.0,90,3.1,6.1,1.61,60,2002
60,"Jave Meade, G",HC,32,34.3,158,4.9,82,2.6,5.8,1.93,61,2002
61,"Kevin Mitchell, G",TRGV,30,30.1,148,4.9,89,3.0,6.6,1.66,62,2002
62,"James Wright, G",COLO,28,28.4,138,4.9,79,2.8,7.0,1.75,63,2002
63,"Von Damien Green, G",MAN,28,37.5,136,4.9,89,3.2,5.2,1.53,64,2002
64,"Brian Williams, G",WIU,28,28.6,136,4.9,79,2.8,6.8,1.72,65,2002
65,"J.P. Spatola, G",ARMY,28,31.3,136,4.9,105,3.8,6.2,1.30,66,2002
66,"Robert Shannon, G",SHSU,28,27.2,136,4.9,72,2.6,7.1,1.89,67,2002
67,"Marcus Moore, G",WSU,27,35.1,131,4.9,95,3.5,5.5,1.38,68,2002
68,"Brian Dux, G",CAN,30,32.1,145,4.8,57,1.9,6.0,2.54,69,2002
69,"Courtney Pritchard, G",WAG,24,26.8,116,4.8,62,2.6,7.2,1.87,70,2002
70,"Austin Parkinson, G",PUR,29,21.4,140,4.8,55,1.9,9.0,2.55,71,2002
71,"Gregory Burks, G",PV,29,38.0,140,4.8,129,4.4,5.1,1.09,72,2002
72,"Martell Bailey, G",UIC,33,23.3,159,4.8,95,2.9,8.3,1.67,73,2002
73,"Tom Coverdale, G",IND,31,32.3,149,4.8,81,2.6,6.0,1.84,74,2002
74,"Shane Christensen, G",MONT,27,22.9,129,4.8,60,2.2,8.3,2.15,75,2002
75,"Clyde McCully, G",CHAT,30,32.1,143,4.8,104,3.5,5.9,1.38,76,2002
76,"Bernard King, G",TAMU,30,31.9,142,4.7,100,3.3,5.9,1.42,77,2002
77,"Mark Campbell, G",HAW,32,32.0,151,4.7,57,1.8,5.9,2.65,78,2002
78,"Dan Dickau, G",GONZ,31,34.5,146,4.7,92,3.0,5.5,1.59,79,2002
79,"Jason Lewis, G",EWU,30,30.5,141,4.7,92,3.1,6.2,1.53,80,2002
80,"Odie Williams, G",ARST,31,29.3,145,4.7,87,2.8,6.4,1.67,81,2002
81,"Kevin Burleson, G",MINN,29,25.2,135,4.7,55,1.9,7.4,2.45,82,2002
82,"Dinno Daniels, G",URI,28,31.9,130,4.6,63,2.3,5.8,2.06,83,2002
83,"Richard Little, G",VMI,28,20.2,130,4.6,78,2.8,9.2,1.67,84,2002
84,"Tony Brown, G",USU,30,34.8,139,4.6,65,2.2,5.3,2.14,85,2002
85,"Karl Sanders, G",SFNY,29,32.3,134,4.6,93,3.2,5.7,1.44,86,2002
86,"Jonathan Hargett, G",WVU,26,28.5,120,4.6,106,4.1,6.5,1.13,87,2002
87,"Quannas White, G",OKLA,31,29.6,143,4.6,61,2.0,6.2,2.34,88,2002
88,"Rashon Burno, G",DEP,28,22.1,129,4.6,63,2.3,8.3,2.05,89,2002
89,"Raoul Heinen, G",GMU,28,30.1,129,4.6,77,2.8,6.1,1.68,90,2002
90,"Matt Crenshaw, G",IUPU,30,27.9,138,4.6,66,2.2,6.6,2.09,91,2002
91,"David Bailey, G",L-IL,30,31.2,138,4.6,118,3.9,5.9,1.17,92,2002
92,"Rashad Wright, G",UGA,30,32.4,138,4.6,63,2.1,5.7,2.19,93,2002
93,"Rob Monroe, G",QUIN,30,33.0,138,4.6,53,1.8,5.6,2.60,94,2002
94,"Marcus Hatten, G",SJU,31,36.6,142,4.6,117,3.8,5.0,1.21,95,2002
95,"Sam Riddle, G",MONT,30,20.4,137,4.6,79,2.6,9.0,1.73,96,2002
96,"Thomas Jackson, G",BUT,30,32.8,137,4.6,52,1.7,5.6,2.63,97,2002
97,"Brian Evans, G",AMCC,26,34.7,118,4.5,101,3.9,5.2,1.17,98,2002
98,"Garrett Richardson, G",TNST,28,34.6,127,4.5,95,3.4,5.2,1.34,99,2002
99,"Travis Spivey, G",UTAH,28,31.0,127,4.5,67,2.4,5.9,1.90,100,2002
100,"Woody Souffrant, G",HOF,32,26.0,145,4.5,96,3.0,7.0,1.51,101,2002
101,"Jason Gardner, G",ARIZ,31,38.1,140,4.5,91,2.9,4.7,1.54,102,2002
102,"Maurice Williams, G",ALA,33,32.0,149,4.5,91,2.8,5.6,1.64,103,2002
103,"A.J. Meredith, G",UNO,29,35.6,130,4.5,120,4.1,5.0,1.08,104,2002
104,"Aaron Fitzgerald, G",PRST,28,26.2,125,4.5,92,3.3,6.8,1.36,105,2002
105,"Dan Swoger, G",SFU,26,31.9,116,4.5,76,2.9,5.6,1.53,106,2002
106,"LyRyan Russell, G",SF,22,29.3,98,4.5,67,3.0,6.1,1.46,107,2002
107,"Trevor Huffman, G",KENT,32,32.9,142,4.4,72,2.3,5.4,1.97,108,2002
108,"John Linehan, G",PROV,31,33.7,137,4.4,72,2.3,5.2,1.90,109,2002
109,"Brian Burke, G",LAF,29,27.1,128,4.4,89,3.1,6.5,1.44,110,2002
110,"William (Smoosh Parker, G",FOR,28,35.0,123,4.4,122,4.4,5.0,1.01,111,2002
111,"Lynn Greer, G",TEM,29,39.8,127,4.4,102,3.5,4.4,1.25,112,2002
112,"Jason Forte, G",BRWN,27,24.5,118,4.4,78,2.9,7.1,1.51,113,2002
113,"Curtis Allen, G",WASH,29,28.2,126,4.3,109,3.8,6.2,1.16,114,2002
114,"Tyrone Tiggs, G",ORU,31,34.8,134,4.3,91,2.9,5.0,1.47,115,2002
115,"Wesley Stokes, G",MIZ,32,23.9,138,4.3,66,2.1,7.2,2.09,116,2002
116,"Lawrence Myers, G",JKST,28,21.0,120,4.3,46,1.6,8.2,2.61,117,2002
117,"Isaac Jefferson, G",HAMP,31,35.8,132,4.3,83,2.7,4.8,1.59,118,2002
118,"DeShaun Williams, G",SYR,28,35.1,119,4.3,109,3.9,4.8,1.09,119,2002
119,"D.J. Munir, G",STON,28,36.7,119,4.3,98,3.5,4.6,1.21,120,2002
0,"Martell Bailey, G",UIC,29,32.5,240,8.3,95,3.3,10.2,2.53,1,2003
1,"Marques Green, G",SBON,27,37.1,216,8.0,98,3.6,8.6,2.20,2,2003
2,"Elliott Prasse-Freeman, G",HARV,27,35.0,207,7.7,110,4.1,8.8,1.88,3,2003
3,"Antawn Dobie, G",LIU,26,38.4,193,7.4,149,5.7,7.7,1.30,4,2003
4,"T.J. Ford, G",TEX,28,33.4,203,7.3,91,3.3,8.7,2.23,5,2003
5,"Steve Blake, G",MD,28,32.6,202,7.2,91,3.3,8.8,2.22,6,2003
6,"Richard Little, G",VMI,30,32.9,216,7.2,137,4.6,8.8,1.58,7,2003
7,"Chris Thomas, G",ND,31,36.3,223,7.2,125,4.0,7.9,1.78,8,2003
8,"Chris Duhon, G",DUKE,30,35.8,200,6.7,89,3.0,7.5,2.25,9,2003
9,"Luke Ridnour, G",ORE,32,35.3,213,6.7,124,3.9,7.5,1.72,10,2003
10,"Aaron Miles, G",KU,32,30.9,207,6.5,107,3.3,8.4,1.93,11,2003
11,"Jay Collins, G",SUU,28,34.5,178,6.4,81,2.9,7.4,2.20,12,2003
12,"Mark Campbell, G",HAW,29,36.3,183,6.3,74,2.6,7.0,2.47,13,2003
13,"Raymond Felton, G",UNC,32,35.3,201,6.3,118,3.7,7.1,1.70,14,2003
14,"Brandin Knight, G",PITT,30,33.2,188,6.3,97,3.2,7.6,1.94,15,2003
15,"Reggie Kohn, G",USF,29,33.6,180,6.2,66,2.3,7.4,2.73,16,2003
16,"Mike Slattery, G",DEL,29,35.7,179,6.2,77,2.7,6.9,2.32,17,2003
17,"Kevin Roberts, G",SEMO,29,27.8,179,6.2,57,2.0,8.9,3.14,18,2003
18,"T.J. Thompson, G",GW,29,36.1,177,6.1,122,4.2,6.8,1.45,19,2003
19,"Jave Meade, G",HC,30,34.5,182,6.1,69,2.3,7.0,2.64,20,2003
20,"Patrick Sparks, G",WKU,32,32.9,190,5.9,94,2.9,7.2,2.02,21,2003
21,"Blake Stepp, G",GONZ,31,35.2,183,5.9,105,3.4,6.7,1.74,22,2003
22,"Robert Shannon, G",SHSU,29,31.0,171,5.9,46,1.6,7.6,3.72,23,2003
23,"Luke Spencer-Gardner, G",ORU,28,33.2,164,5.9,65,2.3,7.1,2.52,24,2003
24,"Jarrett Jack, G",GT,28,31.5,164,5.9,100,3.6,7.4,1.64,25,2003
25,"Ray Trowell, G",CHAT,40,31.5,234,5.9,113,2.8,7.4,2.07,26,2003
26,"Alvin Cruz, G",NIAG,29,34.9,168,5.8,68,2.3,6.6,2.47,27,2003
27,"Tory Cavalieri, G",SFNY,30,35.0,173,5.8,96,3.2,6.6,1.80,28,2003
28,"Edward Scott, G",CLEM,28,38.5,161,5.8,79,2.8,6.0,2.04,29,2003
29,"Ashley Robinson, G",MVSU,29,36.1,165,5.7,45,1.6,6.3,3.67,30,2003
30,"Travis Diener, G",MARQ,28,34.5,159,5.7,59,2.1,6.6,2.69,31,2003
31,"Marquis Sykes, G",MORE,29,32.3,164,5.7,71,2.4,7.0,2.31,32,2003
32,"Antonio Burks, G",MEM,24,26.5,135,5.6,49,2.0,8.5,2.76,33,2003
33,"Marcus Banks, G",UNLV,31,36.0,174,5.6,119,3.8,6.2,1.46,34,2003
34,"C.J. Watson, G",TENN,28,35.8,157,5.6,79,2.8,6.3,1.99,35,2003
35,"Derrick Zimmerman, G",MSST,30,33.2,167,5.6,103,3.4,6.7,1.62,36,2003
36,"Bernard King, G",TAMU,27,31.2,150,5.6,91,3.4,7.1,1.65,37,2003
37,"A.W. Hamilton, G",MRSH,25,32.7,138,5.5,63,2.5,6.7,2.19,38,2003
38,"Rashad Wright, G",UGA,27,33.3,149,5.5,50,1.9,6.6,2.98,39,2003
39,"Keith Jenifer, G",UVA,19,31.6,104,5.5,52,2.7,6.9,2.00,40,2003
40,"Wayne Bernard, G",DAV,35,29.7,191,5.5,163,4.7,7.3,1.17,41,2003
41,"Brian Dux, G",CAN,28,35.5,152,5.4,62,2.2,6.1,2.45,42,2003
42,"Guilherme Da Luz, G",FUR,28,36.1,149,5.3,95,3.4,5.9,1.57,43,2003
43,"Jason Forte, G",BRWN,28,34.1,149,5.3,97,3.5,6.2,1.54,44,2003
44,"Andre Barrett, G",HALL,29,37.9,154,5.3,99,3.4,5.6,1.56,45,2003
45,"Kyle Feuerbach, G",NAU,28,34.0,148,5.3,73,2.6,6.2,2.03,46,2003
46,"David Bailey, G",L-IL,30,33.3,158,5.3,100,3.3,6.3,1.58,47,2003
47,"Clarence Baker, G",MER,29,31.2,152,5.2,86,3.0,6.7,1.77,48,2003
48,"Matt Witt, G",EKY,28,31.4,144,5.1,87,3.1,6.5,1.66,49,2003
49,"Jason Gaines, G",SF,29,26.4,149,5.1,60,2.1,7.8,2.48,50,2003
50,"A.J. Harris, G",COFC,31,28.3,159,5.1,56,1.8,7.2,2.84,51,2003
51,"Michael Ross, G",EMU,28,32.4,142,5.1,81,2.9,6.3,1.75,52,2003
52,"Marc Stricker, G",UMKC,17,37.6,86,5.1,51,3.0,5.4,1.69,53,2003
53,"Taron Barker, G",CIN,27,32.0,136,5.0,49,1.8,6.3,2.78,54,2003
54,"Malcolm Campbell, G",ALST,28,30.1,141,5.0,101,3.6,6.7,1.40,55,2003
55,"Corey Santee, G",TCU,28,33.8,141,5.0,84,3.0,6.0,1.68,56,2003
56,"Reece Gaines, G",LOU,30,32.1,151,5.0,86,2.9,6.3,1.76,57,2003
57,"Courtney Pritchard, G",WAG,31,31.9,156,5.0,95,3.1,6.3,1.64,58,2003
58,"Ben Gordon, G",CONN,30,33.7,150,5.0,104,3.5,5.9,1.44,59,2003
59,"Tim Barnes, G",ISU,29,36.2,145,5.0,81,2.8,5.5,1.79,60,2003
60,"Ed O'Neil, G",CHSO,25,27.5,125,5.0,53,2.1,7.3,2.36,61,2003
61,"Marlon Williamson, G",YSU,29,28.5,144,5.0,101,3.5,7.0,1.43,62,2003
62,"Louis Ford, G",HOW,21,29.6,104,5.0,66,3.1,6.7,1.58,63,2003
63,"Dee Brown, G",ILL,30,33.8,148,4.9,59,2.0,5.8,2.51,64,2003
64,"Jason Gardner, G",ARIZ,28,34.6,138,4.9,78,2.8,5.7,1.77,65,2003
65,"Demetrice Williams, G",USA,28,36.6,138,4.9,70,2.5,5.4,1.97,66,2003
66,"Ramod Marshall, G",DAY,29,34.3,142,4.9,56,1.9,5.7,2.54,67,2003
67,"Prosper Karangwa, G",SIE,29,34.3,142,4.9,115,4.0,5.7,1.23,68,2003
68,"Isaac Jefferson, G",HAMP,29,32.2,142,4.9,86,3.0,6.1,1.65,69,2003
69,"Kevin Burleson, G",MINN,28,29.1,137,4.9,71,2.5,6.7,1.93,70,2003
70,"Walt Chavis, G",CLEV,28,27.6,137,4.9,84,3.0,7.1,1.63,71,2003
71,"Frank Richards, G",KSU,30,30.3,146,4.9,90,3.0,6.4,1.62,72,2003
72,"Jameer Nelson, G",JOES,29,34.6,141,4.9,87,3.0,5.6,1.62,73,2003
73,"Trayvean Scott, G",SOU,29,28.6,141,4.9,66,2.3,6.8,2.14,74,2003
74,"Marcus Whitaker, G",FDU,27,30.5,131,4.9,65,2.4,6.4,2.02,75,2003
75,"Taliek Brown, G",CONN,26,26.2,126,4.8,64,2.5,7.4,1.97,76,2003
76,"Eric Dobson, G",MAINE,30,23.7,145,4.8,106,3.5,8.2,1.37,77,2003
77,"Andres Rodriguez, G",AMER,30,27.5,145,4.8,61,2.0,7.0,2.38,78,2003
78,"Graham Bunn, G",APP,29,31.9,140,4.8,80,2.8,6.1,1.75,79,2003
79,"Torris Bright, G",LSU,31,31.6,149,4.8,72,2.3,6.1,2.07,80,2003
80,"Kevin Hammack, G",CIT,28,28.8,134,4.8,93,3.3,6.7,1.44,81,2003
81,"Greg Davis, G",TROY,31,24.3,148,4.8,60,1.9,7.9,2.47,82,2003
82,"Ali Berdiel, G",VALP,30,28.9,143,4.8,95,3.2,6.6,1.51,83,2003
83,"Earnest Crumbley, G",FAU,28,36.1,133,4.8,103,3.7,5.3,1.29,84,2003
84,"Luke Walton, F",ARIZ,24,26.2,113,4.7,66,2.8,7.2,1.71,85,2003
85,"Zakee Smith, G",CSF,28,31.8,131,4.7,70,2.5,5.9,1.87,86,2003
86,"Marcus Moore, G",WSU,18,33.8,84,4.7,68,3.8,5.5,1.24,87,2003
87,"Kason Mims, G",QUIN,29,34.6,135,4.7,83,2.9,5.4,1.63,88,2003
88,"Matt Rohde, G",GB,30,36.4,139,4.6,86,2.9,5.1,1.62,89,2003
89,"Ryan Sidney, G",BC,29,35.5,134,4.6,86,3.0,5.2,1.56,90,2003
90,"Andrew Pleick, G",LAF,29,33.3,134,4.6,92,3.2,5.5,1.46,91,2003
91,"Omar Wellington, G",SHU,29,34.5,134,4.6,79,2.7,5.4,1.70,92,2003
92,"Dante Stiggers, G",USM,29,27.0,134,4.6,72,2.5,6.9,1.86,93,2003
93,"Josh Daniel, G",UTA,29,31.1,134,4.6,86,3.0,5.9,1.56,94,2003
94,"Gerry McNamara, G",SYR,29,35.4,134,4.6,71,2.4,5.2,1.89,95,2003
95,"Marcello Robinson, G",BRAD,28,31.6,129,4.6,81,2.9,5.8,1.59,96,2003
96,"Deron Williams, G",ILL,30,26.9,138,4.6,56,1.9,6.8,2.46,97,2003
97,"David Sykes, G",TXST,29,30.7,133,4.6,85,2.9,6.0,1.56,98,2003
98,"Mark Brown, G",USU,32,32.3,146,4.6,69,2.2,5.7,2.12,99,2003
99,"Brian Evans, G",AMCC,29,34.4,132,4.6,115,4.0,5.3,1.15,100,2003
100,"Turner Battle, G",BUFF,20,35.4,91,4.6,48,2.4,5.1,1.90,101,2003
101,"Woody Souffrant, G",HOF,28,33.4,127,4.5,91,3.3,5.4,1.40,102,2003
102,"Kevin Sheppard, G",JAC,29,34.9,131,4.5,99,3.4,5.2,1.32,103,2003
103,"Brent Darby, G",OSU,31,38.1,140,4.5,114,3.7,4.7,1.23,104,2003
104,"Cameron Crisp, G",TNTC,32,30.0,144,4.5,101,3.2,6.0,1.43,105,2003
105,"Donnie McGrath, G",PROV,29,33.2,130,4.5,66,2.3,5.4,1.97,106,2003
106,"Chris Sumner, G",MSM,27,34.9,121,4.5,70,2.6,5.1,1.73,107,2003
107,"Daniel Horton, G",MICH,30,36.1,134,4.5,110,3.7,5.0,1.22,108,2003
108,"Chuck Eidson, G",SC,28,34.9,125,4.5,76,2.7,5.1,1.64,109,2003
109,"Vince Greene, G",ILST,29,32.5,129,4.4,96,3.3,5.5,1.34,110,2003
110,"Kasib Powell, F",TTU,30,35.0,133,4.4,43,1.4,5.1,3.09,111,2003
111,"Andrew Wisniewski, G",CENT,28,33.9,124,4.4,101,3.6,5.2,1.23,112,2003
112,"Jeff Horner, G",IOWA,28,35.3,124,4.4,66,2.4,5.0,1.88,113,2003
113,"Troy Nance, G",ODU,26,20.5,115,4.4,54,2.1,8.6,2.13,114,2003
114,"Charles Brown, G",LMU,31,29.4,137,4.4,117,3.8,6.0,1.17,115,2003
115,"Gregory Burks, G",PV,29,36.1,128,4.4,83,2.9,4.9,1.54,116,2003
116,"Taron Downey, G",WAKE,29,34.2,128,4.4,74,2.6,5.2,1.73,117,2003
117,"Jabari Mattox, G",BGSU,22,32.6,97,4.4,76,3.5,5.4,1.28,118,2003
118,"Rashid Smith, G",RICE,27,23.3,118,4.4,62,2.3,7.5,1.90,119,2003
119,"John Lucas III, G",BAY,28,35.1,122,4.4,55,2.0,5.0,2.22,120,2003
0,"Greg Davis, G",TROY,30,33.9,253,8.4,86,2.9,9.9,2.94,1,2004
1,"Martell Bailey, G",UIC,31,33.6,245,7.9,107,3.5,9.4,2.29,2,2004
2,"Andres Rodriguez, G",AMER,31,37.3,225,7.3,100,3.2,7.8,2.25,3,2004
3,"Raymond Felton, G",UNC,28,34.6,202,7.2,94,3.4,8.3,2.15,4,2004
4,"Aaron Miles, G",KU,29,33.7,208,7.2,72,2.5,8.5,2.89,5,2004
5,"Maurice Searight, G",GRAM,28,33.8,195,7.0,89,3.2,8.2,2.19,6,2004
6,"Blake Stepp, G",GONZ,28,34.0,193,6.9,82,2.9,8.1,2.35,7,2004
7,"Jerel Blassingame, G",UNLV,30,33.1,204,6.8,108,3.6,8.2,1.89,8,2004
8,"Taliek Brown, G",CONN,33,29.3,220,6.7,75,2.3,9.1,2.93,9,2004
9,"Walker Russell, G",JVST,28,33.5,182,6.5,100,3.6,7.8,1.82,10,2004
10,"Michael McGrain, G",USD,26,30.9,169,6.5,82,3.2,8.4,2.06,11,2004
11,"Chris Duhon, G",DUKE,32,35.8,198,6.2,93,2.9,6.9,2.13,12,2004
12,"Alvin Cruz, G",NIAG,30,33.4,185,6.2,68,2.3,7.4,2.72,13,2004
13,"Jonathan Bluitt, G",ORU,27,35.5,165,6.1,73,2.7,6.9,2.26,14,2004
14,"Ali Berdiel, G",VALP,30,29.4,183,6.1,124,4.1,8.3,1.48,15,2004
15,"Deron Williams, G",ILL,27,34.2,164,6.1,72,2.7,7.1,2.28,16,2004
16,"Eric Dobson, G",MAINE,30,32.6,179,6.0,115,3.8,7.3,1.56,17,2004
17,"Marquis Poole, G",IDST,28,33.8,167,6.0,111,4.0,7.1,1.50,18,2004
18,"Andre Barrett, G",HALL,29,35.9,172,5.9,76,2.6,6.6,2.26,19,2004
19,"Martin Osimani, G",DUQ,29,29.2,172,5.9,94,3.2,8.1,1.83,20,2004
20,"Mike Slattery, G",DEL,28,33.8,166,5.9,71,2.5,7.0,2.34,21,2004
21,"Richard Little, G",VMI,28,31.0,165,5.9,115,4.1,7.6,1.43,22,2004
22,"Travis Diener, G",MARQ,28,34.7,164,5.9,65,2.3,6.8,2.52,23,2004
23,"Jarrett Jack, G",GT,32,31.2,187,5.8,97,3.0,7.5,1.93,24,2004
24,"Wesley Stokes, G",SDSU,30,33.8,175,5.8,114,3.8,6.9,1.54,25,2004
25,"DeAndre Haynes, G",KENT,30,34.5,174,5.8,94,3.1,6.7,1.85,26,2004
26,"Tory Cavalieri, G",SFNY,28,34.5,162,5.8,92,3.3,6.7,1.76,27,2004
27,"Ed O'Neil, G",CHSO,28,34.0,162,5.8,91,3.3,6.8,1.78,28,2004
28,"Chris Paul, G",WAKE,28,33.3,162,5.8,76,2.7,6.9,2.13,29,2004
29,"J.J. Barea, G",NE,26,34.2,150,5.8,77,3.0,6.7,1.95,30,2004
30,"Kason Mims, G",QUIN,29,35.8,166,5.7,110,3.8,6.4,1.51,31,2004
31,"Courtney Pritchard, G",WAG,28,34.7,159,5.7,93,3.3,6.5,1.71,32,2004
32,"Nick D'Antoni, G",W&M;,28,33.6,159,5.7,76,2.7,6.8,2.09,33,2004
33,"Jerome (Fridge) Holman, G",WICH,28,28.0,158,5.6,87,3.1,8.1,1.82,34,2004
34,"Matt Crenshaw, G",IUPU,32,36.3,180,5.6,78,2.4,6.2,2.31,35,2004
35,"Shantay Legans, G",FRES,29,38.2,162,5.6,60,2.1,5.8,2.70,36,2004
36,"Marcus Whitaker, G",FDU,29,34.1,161,5.6,56,1.9,6.5,2.88,37,2004
37,"Jave Meade, G",HC,28,33.9,155,5.5,53,1.9,6.5,2.92,38,2004
38,"Cedric Bozeman, G",UCLA,28,33.7,155,5.5,84,3.0,6.6,1.85,39,2004
39,"Matt Witt, G",EKY,29,33.5,160,5.5,121,4.2,6.6,1.32,40,2004
40,"Antonio Burks, G",MEM,28,34.1,154,5.5,67,2.4,6.5,2.30,41,2004
41,"Terry Reynolds, G",GMU,28,28.5,153,5.5,92,3.3,7.7,1.66,42,2004
42,"A.W. Hamilton, G",MRSH,29,35.6,158,5.4,73,2.5,6.1,2.16,43,2004
43,"Terry Williams, G",GASO,29,28.4,158,5.4,67,2.3,7.7,2.36,44,2004
44,"Jameer Nelson, G",JOES,28,33.4,150,5.4,84,3.0,6.4,1.79,45,2004
45,"Cliff Hawkins, G",UK,30,30.9,160,5.3,86,2.9,6.9,1.86,46,2004
