,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK,YEAR
0,"T.J. Ford, G",TEX,30,32.4,255,8.5,116,3.9,10.5,2.20,1,2002
1,"Steve Blake, G",MD,30,32.2,246,8.2,99,3.3,10.2,2.48,2,2002
2,"Sean Kennedy, G",MRST,28,36.1,222,7.9,97,3.5,8.8,2.29,3,2002
3,"Edward Scott, G",CLEM,30,36.8,236,7.9,109,3.6,8.5,2.17,4,2002
4,"Chris Thomas, G",ND,31,38.0,238,7.7,94,3.0,8.1,2.53,5,2002
5,"Brandin Knight, G",PITT,32,36.4,229,7.2,103,3.2,7.9,2.22,6,2002
6,"Matt Montague, G",BYU,28,37.6,200,7.1,73,2.6,7.6,2.74,7,2002
7,"Mychal Covington, G",OAK,28,30.5,198,7.1,86,3.1,9.3,2.30,8,2002
8,"Aaron Miles, G",KU,32,27.0,223,7.0,94,2.9,10.3,2.37,9,2002
9,"Reggie Kohn, G",USF,31,29.5,206,6.6,120,3.9,9.0,1.72,10,2002
10,"Guilherme Da Luz, G",FUR,31,33.9,206,6.6,96,3.1,7.8,2.15,11,2002
11,"Sean Peterson, G",GASO,28,34.4,186,6.6,92,3.3,7.7,2.02,12,2002
12,"Marquis Sykes, G",MORE,29,34.0,189,6.5,92,3.2,7.7,2.05,13,2002
13,"Jameer Nelson, G",JOES,28,35.5,179,6.4,85,3.0,7.2,2.11,14,2002
14,"Luke Walton, F",ARIZ,28,36.8,177,6.3,106,3.8,6.9,1.67,15,2002
15,"Delvon Arrington, G",FSU,29,33.6,182,6.3,110,3.8,7.5,1.65,16,2002
16,"John Salmons, F",MIA,31,33.8,191,6.2,114,3.7,7.3,1.68,17,2002
17,"Chris Duhon, G",DUKE,32,35.1,197,6.2,86,2.7,7.0,2.29,18,2002
18,"Derrick Zimmerman, G",MSST,33,32.7,203,6.2,112,3.4,7.5,1.81,19,2002
19,"Courtney Eldridge, G",UNCG,29,31.8,177,6.1,105,3.6,7.7,1.69,20,2002
20,"Brandon Pardon, G",BGSU,32,34.9,195,6.1,89,2.8,7.0,2.19,21,2002
21,"Marques Green, G",SBON,29,38.0,175,6.0,73,2.5,6.4,2.40,22,2002
22,"Ashley Robinson, G",MVSU,29,38.9,173,6.0,70,2.4,6.1,2.47,23,2002
23,"Victor Tarver, G",SOU,26,34.1,154,5.9,110,4.2,6.9,1.40,24,2002
24,"David Morris, G",DAY,30,27.5,176,5.9,62,2.1,8.5,2.84,25,2002
25,"Corey Santee, G",TCU,31,31.1,180,5.8,99,3.2,7.5,1.82,26,2002
26,"Kevin Braswell, G",GTWN,30,33.6,173,5.8,90,3.0,6.9,1.92,27,2002
27,"Brandon Granville, G",USC,31,31.5,178,5.7,71,2.3,7.3,2.51,28,2002
28,"Andrew Wisniewski, G",CENT,27,33.8,155,5.7,106,3.9,6.8,1.46,29,2002
29,"Desmond Cambridge, G",AAMU,29,29.5,166,5.7,119,4.1,7.8,1.39,30,2002
