,RK,PLAYER,TEAM,GP,PPG,FTM,FTA,total_FTM,total_FTA,FT%
456,97,"Jeff Schiffner, G",PENN,27,11.7,2.4,2.7,66,74,0.892
457,98,"Kenneth Lowe, G",PUR,25,11.6,4.6,5.2,115,129,0.891
458,99,"D.J. Munir, G",STON,20,17.4,4.4,5.0,88,99,0.889
459,100,"Ronald Blackshear, G",MRSH,29,20.3,3.8,4.3,111,125,0.888
460,101,"Jake Sullivan, G",ISU,29,17.1,3.4,3.9,100,113,0.885
461,102,"Terrence Woods, G",FAMU,28,20.5,3.6,4.0,100,113,0.885
462,103,"Tori Harris, F",ALCN,29,10.1,3.2,3.6,92,104,0.885
463,104,"Charles Harris, F",DART,27,12.2,2.6,2.9,69,78,0.885
464,105,"Alan (Junior) Blount, G",TCU,28,17.7,4.1,4.6,114,129,0.884
465,106,"Emanuel Mathis, G",VCU,28,11.2,2.4,2.7,67,76,0.882
466,107,"Luke Ridnour, G",ORE,32,19.9,4.8,5.5,155,176,0.881
467,108,"Jason Kapono, F",UCLA,29,16.8,2.8,3.2,81,92,0.88
468,109,"James Poindexter, G",LIP,28,8.9,2.9,3.3,81,92,0.88
469,110,"Kevin Martin, G",WCU,24,22.8,7.3,8.3,174,198,0.879
470,111,"Marques Green, G",SBON,27,21.3,4.3,4.9,116,132,0.879
471,112,"Brooks Lee, G",CAMP,26,9.7,2.2,2.5,58,66,0.879
472,113,"Salim Stoudamire, G",ARIZ,26,13.2,2.5,2.8,65,74,0.878
473,114,"Jason Allen, G",CP,30,12.2,2.4,2.7,71,81,0.877
474,115,"Jasen Gast, F",SFA,29,8.6,2.4,2.8,70,80,0.875
475,116,"Derrick Williams, G",BSC,28,12.6,3.2,3.7,90,103,0.874
476,117,"Chris Thomas, G",ND,31,18.5,3.9,4.5,122,140,0.871
477,118,"Kevin Warzynski, F",CHSO,28,13.3,2.6,3.0,72,83,0.867
478,119,"Luke Jackson, F",ORE,31,16.1,4.2,4.8,130,150,0.867
479,120,"Dalron Johnson, F",UNLV,31,15.4,3.8,4.4,117,135,0.867
480,1,"Blake Ahearn, G",MOST,33,10.5,3.5,3.6,117,120,0.975
481,2,"J.J. Redick, G",DUKE,32,15.9,4.1,4.3,130,136,0.956
482,3,"Steve Drabyn, G",BEL,29,13.6,3.3,3.6,96,105,0.914
483,4,"Chris Hernandez, G",STAN,28,10.1,3.4,3.8,96,105,0.914
484,5,"David Doubley, G",PAC,30,8.1,2.4,2.6,71,78,0.91
485,6,"Scooter McFadgon, G",TENN,27,17.9,4.8,5.3,129,142,0.908
