,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
1818,33.5,24.6,0.0,0.0,121.0,0.0,75.0,121.0,3.075,58.5,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.6,5.6,12.8,61.0,Joakim Noah,FLA,True
1876,33.0,35.0,4.0303030303,7.3,4.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,John Wall,UK,True
1964,29.0,30.35,2.51724137931,0.0,121.0,2.52,83.0,67.0,1.79,116.0,20.0,0.482,0.393,0.823,45.0,14.0,4.7,5.7,3.45,4.65,10.7,87.5,Josh Howard,WAKE,True
2083,33.0,31.7,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.4,6.9,12.95,17.0,Kawhi Leonard,SDSU,True
2170,33.0,35.7,2.78787878788,0.0,121.0,2.11,66.0,74.0,2.18,54.0,25.6,0.474,0.421,0.81,4.0,18.5,5.8,7.0,3.1,8.2,12.7,4.0,Kevin Durant,TEX,True
2178,31.5,29.05,0.0,0.0,121.0,0.0,81.5,121.0,3.065,31.5,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Kevin Johnson,TLSA,True
2182,34.0,29.2,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,17.1,0.557,0.359,0.763,103.0,10.1,1.9,6.8,3.7,6.9,14.6,11.0,Kevin Love,UCLA,True
2224,30.5,35.0,3.5,0.0,121.0,2.08,89.0,66.0,0.0,121.0,20.85,0.4295,0.3935,0.8125,21.5,16.0,7.0,5.35,0.0,0.0,0.0,121.0,Klay Thompson,WSU,True
2250,33.0,31.7,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,17.7,0.467,0.477,0.907,105.0,11.4,7.9,3.6,0.0,0.0,0.0,121.0,Kyle Korver,CREI,True
2252,29.0,29.1,2.24137931034,0.0,121.0,3.22,82.0,35.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Kyle Lowry,NOVA,True
2274,24.5,27.65,0.0,0.0,121.0,0.0,66.0,121.0,2.52,85.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.7,5.4,10.9,42.0,LaMarcus Aldridge,TEX,True
2660,24.0,35.0,2.41666666667,0.0,121.0,2.15,69.0,117.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Mike Mitchell,NMSU,True
2861,29.0,33.2,3.24137931034,0.0,121.0,2.66,84.0,24.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Paul George,FRES,True
2867,30.3333333333,35.3,2.5625,0.0,121.0,2.19,95.0,116.0,2.26333333333,48.0,20.05,0.572,0.154,0.6125,26.5,13.65,0.2,7.2,5.46666666667,7.26666666667,14.5,1.0,Paul Millsap,LT,True
2948,31.0,27.7,2.1375,6.4,51.0,3.415,60.0,43.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Rajon Rondo,UK,True
3147,31.3333333333,25.5,0.0,0.0,121.0,0.0,76.0,121.0,3.26666666667,50.6666666667,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Roy Hibbert,GTWN,True
3160,34.0,33.8,2.44117647059,5.1,107.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Russell Westbrook,UCLA,True
3325,32.3333333333,32.2333333333,3.01294191919,6.7,22.0,2.56666666667,77.3333333333,64.6666666667,0.0,121.0,24.9666666667,0.468666666667,0.410333333333,0.874,5.33333333333,17.6333333333,9.46666666667,5.23333333333,0.0,0.0,0.0,121.0,Stephen Curry,DAV,True
