,Draft_Yr,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per_48,BPM,VORP
0,1999,1.0,CHI,Elton Brand,Duke University,17,1058,34910,16827,9040,2184,0.5,0.095,0.736,33.0,15.9,8.5,2.1,109.6,0.151,3.1,45.2
1,1999,2.0,VAN,Steve Francis,University of Maryland,9,576,21632,10446,3215,3473,0.429,0.341,0.797,37.6,18.1,5.6,6.0,54.1,0.12,3.2,28.2
2,1999,3.0,CHH,Baron Davis,"University of California, Los Angeles",13,835,28592,13447,3183,6025,0.409,0.32,0.711,34.2,16.1,3.8,7.2,63.1,0.106,2.7,34.1
3,1999,4.0,LAC,Lamar Odom,University of Rhode Island,14,961,32131,12781,8059,3554,0.463,0.312,0.693,33.4,13.3,8.4,3.7,77.0,0.115,2.5,36.3
4,1999,5.0,TOR,Jonathan Bender,,8,262,3847,1453,582,170,0.417,0.34,0.763,14.7,5.5,2.2,0.6,3.8,0.047,-3.5,-1.5
5,1999,6.0,MIN,Wally Szczerbiak,Miami University,10,651,20052,9195,2602,1532,0.485,0.406,0.86,30.8,14.1,4.0,2.4,53.3,0.127,0.5,12.8
6,1999,7.0,WAS,Richard Hamilton,University of Connecticut,14,921,29559,15708,2852,3125,0.449,0.346,0.852,32.1,17.1,3.1,3.4,62.8,0.102,-0.6,10.5
7,1999,8.0,CLE,Andre Miller,University of Utah,17,1304,40268,16278,4795,8524,0.461,0.217,0.807,30.9,12.5,3.7,6.5,100.8,0.12,1.1,31.7
8,1999,9.0,PHO,Shawn Marion,"University of Nevada, Las Vegas",16,1163,40097,17700,10101,2198,0.484,0.331,0.81,34.5,15.2,8.7,1.9,124.9,0.15,3.2,52.1
9,1999,10.0,ATL,Jason Terry,University of Arizona,18,1290,39946,18423,3126,5263,0.444,0.379,0.846,31.0,14.3,2.4,4.1,99.1,0.119,1.3,33.7
10,1999,11.0,CLE,Trajan Langdon,Duke University,3,119,1738,647,159,152,0.416,0.396,0.91,14.6,5.4,1.3,1.3,2.9,0.079,-1.9,0.1
11,1999,12.0,TOR,Aleksandar Radojevic,Barton County Community College,2,15,152,26,36,7,0.308,0.0,0.625,10.1,1.7,2.4,0.5,-0.4,-0.13,-9.4,-0.3
12,1999,13.0,SEA,Corey Maggette,Duke University,14,827,23358,13198,4022,1696,0.453,0.324,0.822,28.2,16.0,4.9,2.1,62.2,0.128,-0.4,9.5
13,1999,14.0,MIN,William Avery,Duke University,3,142,1205,379,93,199,0.33,0.255,0.714,8.5,2.7,0.7,1.4,-0.9,-0.034,-7.2,-1.6
14,1999,15.0,NYK,Frederic Weis,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1999,16.0,CHI,Metta World Peace,St. John's University,17,970,31292,13003,4429,2620,0.415,0.34,0.715,32.3,13.4,4.6,2.7,61.3,0.094,1.8,30.0
16,1999,17.0,ATL,Cal Bowdler,Old Dominion University,3,142,1383,424,272,29,0.404,0.182,0.768,9.7,3.0,1.9,0.2,1.8,0.061,-4.7,-0.9
17,1999,18.0,DEN,James Posey,Xavier University,12,864,23260,7419,4061,1413,0.41,0.349,0.82,26.9,8.6,4.7,1.6,51.6,0.107,1.2,18.8
18,1999,19.0,UTA,Quincy Lewis,University of Minnesota,4,159,1853,567,210,96,0.397,0.333,0.71,11.7,3.6,1.3,0.6,0.8,0.02,-4.0,-0.9
19,1999,20.0,ATL,Dion Glover,Georgia Institute of Technology,6,294,6132,2407,897,455,0.411,0.317,0.756,20.9,8.2,3.1,1.5,5.8,0.045,-2.4,-0.7
20,1999,21.0,GSW,Jeff Foster,Texas State University,13,764,15750,3747,5248,703,0.497,0.13,0.615,20.6,4.9,6.9,0.9,47.5,0.145,1.3,13.0
21,1999,22.0,HOU,Kenny Thomas,University of New Mexico,11,632,17306,5876,4341,975,0.465,0.244,0.699,27.4,9.3,6.9,1.5,31.2,0.086,-0.5,6.6
22,1999,23.0,LAL,Devean George,Augsburg College,11,630,11682,3536,1975,543,0.392,0.343,0.721,18.5,5.6,3.1,0.9,18.2,0.075,-1.2,2.5
23,1999,24.0,UTA,Andrei Kirilenko,,13,797,23916,9431,4352,2169,0.474,0.31,0.754,30.0,11.8,5.5,2.7,75.4,0.151,5.0,42.4
24,1999,25.0,MIA,Tim James,University of Miami,3,43,261,68,46,11,0.329,0.333,0.652,6.1,1.6,1.1,0.3,0.0,-0.003,-7.1,-0.3
25,1999,26.0,IND,Vonteego Cummings,University of Pittsburgh,3,199,3789,1381,373,534,0.383,0.321,0.726,19.0,6.9,1.9,2.7,2.2,0.028,-2.9,-0.9
26,1999,27.0,ATL,Jumaine Jones,University of Georgia,8,471,9780,3325,1987,408,0.424,0.349,0.704,20.8,7.1,4.2,0.9,15.1,0.074,-1.0,2.4
27,1999,28.0,UTA,Scott Padgett,University of Kentucky,8,448,5613,1874,1227,325,0.41,0.373,0.736,12.5,4.2,2.7,0.7,13.2,0.113,-0.1,2.7
28,1999,29.0,SAS,Leon Smith,,2,15,104,33,33,3,0.393,0.0,0.647,6.9,2.2,2.2,0.2,0.2,0.112,-4.3,-0.1
31,1999,30.0,LAL,John Celestand,Villanova University,1,16,185,37,11,20,0.333,0.222,0.833,11.6,2.3,0.7,1.3,-0.1,-0.038,-7.4,-0.3
32,1999,31.0,LAC,Rico Hill,Illinois State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1999,32.0,CHI,Michael Ruffin,University of Tulsa,9,414,5966,716,1632,250,0.407,0.0,0.459,14.4,1.7,3.9,0.6,6.8,0.055,-1.2,1.2
34,1999,33.0,DEN,Chris Herren,"California State University, Fresno",2,70,1005,224,73,167,0.336,0.328,0.692,14.4,3.2,1.0,2.4,0.5,0.025,-5.6,-0.9
35,1999,34.0,NJN,Evan Eschmeyer,Northwestern University,4,153,2138,421,601,76,0.463,0.0,0.621,14.0,2.8,3.9,0.5,4.0,0.09,-1.1,0.5
36,1999,35.0,WAS,Calvin Booth,Pennsylvania State University,10,366,4477,1190,1010,151,0.451,0.222,0.748,12.2,3.3,2.8,0.4,8.0,0.086,-1.3,0.8
37,1999,36.0,DAL,Wang Zhizhi,,5,137,1256,604,231,39,0.417,0.385,0.735,9.2,4.4,1.7,0.3,2.1,0.078,-4.3,-0.7
38,1999,37.0,VAN,Obinna Ekezie,University of Maryland,4,143,1516,510,383,31,0.423,0.0,0.72,10.6,3.6,2.7,0.2,1.7,0.054,-6.1,-1.5
39,1999,38.0,ORL,Laron Profit,University of Maryland,4,135,1537,441,209,166,0.419,0.236,0.712,11.4,3.3,1.5,1.2,0.7,0.021,-3.4,-0.5
40,1999,39.0,CLE,A.J. Bramlett,University of Arizona,1,8,61,8,22,0,0.19,0.0,0.0,7.6,1.0,2.8,0.0,-0.2,-0.129,-16.8,-0.2
41,1999,40.0,DAL,Gordan Giricek,,6,384,8824,3670,941,584,0.442,0.368,0.823,23.0,9.6,2.5,1.5,8.0,0.044,-3.1,-2.5
42,1999,41.0,DEN,Francisco Elson,University of California,9,472,7207,1726,1638,260,0.478,0.188,0.7,15.3,3.7,3.5,0.6,11.7,0.078,-1.6,0.8
43,1999,42.0,MIN,Louis Bullock,University of Michigan,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1999,43.0,CHH,Lee Nailon,Texas Christian University,6,306,5820,2622,936,298,0.474,0.111,0.786,19.0,8.6,3.1,1.0,8.0,0.066,-3.1,-1.5
