,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,RK,YEAR
33,"Dwayne Archbold, F",SIE,34,35.4,20.3,6.6-15.4,.428,2.8-7.2,.392,4.3-5.2,.819,34,2002
34,"Paul Haynes, F",GRAM,28,32.6,20.2,7.0-14.6,.476,1.5-3.8,.387,4.8-6.1,.789,35,2002
35,"Hector Romero, F",UNO,28,36.1,20.2,6.7-13.6,.493,0.4-1.4,.282,6.4-8.5,.745,36,2002
36,"Lemyan Wilson, F",TROY,28,33.2,20.1,7.7-15.3,.501,2.1-5.0,.421,2.7-3.8,.708,37,2002
37,"Mario Porter, F",RID,28,34.5,20.1,7.7-15.4,.502,0.8-3.0,.265,3.9-5.6,.692,38,2002
38,"Kareem Rush, F",MIZ,32,32.0,20.1,7.1-16.7,.426,3.2-7.7,.416,2.7-3.5,.761,39,2002
39,"Predrag Savovic, G",HAW,24,31.5,20.0,6.4-14.6,.436,3.0-7.6,.388,4.3-5.2,.832,40,2002
40,"Preston Shumpert, G",SYR,31,36.3,19.9,6.8-16.1,.422,2.3-6.4,.360,4.0-4.8,.833,41,2002
41,"Theron Smith, F",BALL,31,33.0,19.9,6.7-13.0,.515,1.2-3.3,.353,5.4-7.3,.738,42,2002
42,"Marcus Hatten, G",SJU,31,36.6,19.9,6.5-16.8,.384,1.7-6.1,.284,5.2-7.2,.730,43,2002
43,"Earl Hunt, F",BRWN,27,34.7,19.7,6.4-14.3,.449,1.8-4.6,.395,5.1-6.1,.841,44,2002
44,"Tommy Adams, G",HAMP,32,35.6,19.7,6.4-15.2,.425,3.2-8.1,.390,3.6-4.7,.773,45,2002
45,"Andrew Wisniewski, G",CENT,27,33.8,19.6,6.1-13.1,.467,2.0-4.5,.438,5.4-7.1,.764,46,2002
46,"Caron Butler, F",CONN,30,35.8,19.5,7.4-15.5,.476,0.7-2.0,.373,4.0-5.3,.761,47,2002
47,"Doug Wrenn, F",WASH,28,32.6,19.5,7.4-16.9,.438,0.6-2.4,.273,4.1-7.0,.585,48,2002
48,"Alan (Junior) Blount, G",TCU,31,33.2,19.5,6.5-15.2,.432,2.7-7.7,.349,3.7-4.3,.864,49,2002
49,"Ricky Cottrill, G",EMU,30,37.7,19.4,6.2-16.1,.384,2.6-7.4,.350,4.4-5.2,.846,50,2002
50,"Juan Dixon, G",MD,30,33.0,19.3,6.6-14.6,.453,2.3-6.3,.370,3.7-4.1,.903,51,2002
51,"Casey Frandsen, G",PORT,30,32.7,19.2,6.1-14.2,.431,3.3-8.1,.403,3.8-4.6,.813,52,2002
52,"Rahsaan Johnson, G",MONM,29,36.4,19.2,6.8-15.2,.447,2.1-6.7,.321,3.4-4.5,.763,53,2002
53,"Mike Sweetney, F",GTWN,29,30.4,19.0,6.4-11.2,.567,0.0-0.0,.000,6.3-8.0,.788,54,2002
54,"Ryan Humphrey, F",ND,29,35.4,19.0,7.6-15.0,.503,0.1-0.2,.500,3.8-6.6,.578,55,2002
55,"Andre Emmett, G",TTU,31,32.5,19.0,7.7-14.5,.530,0.3-0.9,.333,3.4-5.0,.677,56,2002
56,"Sam Clancy, F",USC,31,37.4,19.0,7.4-14.8,.498,0.0-0.0,1.000,4.3-6.8,.630,57,2002
57,"Jobey Thomas, G",CHAR,29,35.1,19.0,5.9-13.4,.441,3.8-8.5,.443,3.4-3.8,.899,58,2002
58,"Roger Mason Jr., G",UVA,28,36.0,18.9,5.7-13.8,.411,2.9-7.7,.372,4.7-5.4,.880,59,2002
59,"Luis Flores, G",MAN,28,36.3,18.9,6.0-13.4,.447,1.3-3.3,.396,5.7-6.6,.870,60,2002
60,"Maurice Bailey, G",SHU,22,31.3,18.9,6.3-14.2,.442,0.8-2.7,.288,5.6-7.5,.745,61,2002
61,"Altron Jackson, F",USF,31,34.2,18.9,6.6-15.5,.425,1.8-5.2,.356,3.8-5.4,.713,62,2002
62,"Tamar Slay, G",MRSH,30,34.4,18.9,6.5-14.6,.446,2.7-6.4,.419,3.2-4.3,.731,63,2002
63,"Elvin Mims, F",USM,25,31.4,18.9,7.2-16.1,.447,1.6-5.0,.331,2.8-3.9,.724,64,2002
64,"Darrell Tucker, F",SF,28,33.5,18.9,6.8-14.6,.466,1.0-2.6,.384,4.2-5.4,.776,65,2002
65,"T.J. Sorrentine, G",UVM,29,37.1,18.8,6.2-15.8,.391,3.1-7.9,.393,3.4-4.0,.838,66,2002
66,"McEverett Powers, F",UTSA,29,30.0,18.8,5.6-11.3,.498,0.0-0.0,.000,7.5-11.6,.649,67,2002
67,"Kyle Williams, G",HOW,31,33.8,18.7,6.8-16.0,.425,2.1-6.0,.344,3.1-4.3,.709,68,2002
68,"Tyray Pearson, F",ISU,31,31.5,18.7,6.7-13.5,.499,0.0-0.0,.000,5.2-7.0,.743,69,2002
69,"Steven Barber, G",UTA,27,31.5,18.6,6.0-14.9,.404,2.1-6.3,.333,4.4-5.1,.862,70,2002
70,"Abe Jackson, F",BSU,30,33.6,18.6,6.2-16.0,.385,3.1-9.4,.327,3.2-3.9,.819,71,2002
71,"Bruce Jenkins, F",NCAT,28,36.0,18.5,6.0-13.5,.443,0.8-2.0,.411,5.7-7.9,.724,72,2002
72,"Frederick Jones, G",ORE,31,31.5,18.5,6.0-11.5,.524,1.4-3.8,.376,5.0-5.8,.862,73,2002
73,"David West, F",XAV,30,34.2,18.5,6.2-11.4,.541,0.3-0.8,.320,5.9-7.6,.773,74,2002
74,"Mike Helms, G",OAK,30,29.8,18.4,6.1-14.0,.439,1.0-3.5,.288,5.1-7.2,.705,75,2002
75,"Carlos Boozer, C",DUKE,32,28.4,18.3,6.6-9.8,.667,0.0-0.0,.000,5.2-6.8,.766,76,2002
76,"Devin Brown, G",UTSA,28,32.3,18.3,5.8-14.4,.403,1.6-4.4,.366,5.1-7.1,.727,77,2002
77,"Andre Laws, G",USD,29,33.3,18.2,6.8-15.4,.444,1.4-4.3,.317,3.2-4.9,.655,78,2002
78,"Jeff Bolton, G",COFC,30,36.4,18.2,6.2-14.9,.419,2.1-5.8,.358,3.6-4.5,.807,79,2002
79,"Patrick Harvey, G",HARV,26,34.3,18.2,6.2-14.4,.433,2.7-7.0,.379,3.0-3.8,.798,80,2002
80,"Ra'Kim Hollis, G",TXSO,26,35.8,18.1,5.5-12.4,.443,2.0-5.4,.369,5.1-6.7,.763,81,2002
81,"Ruben Douglas, G",UNM,29,30.5,18.1,5.7-13.2,.429,2.2-4.9,.447,4.6-5.4,.847,82,2002
82,"Vincent Yarbrough, F",TENN,31,35.4,18.1,6.3-14.7,.425,1.9-5.4,.359,3.6-5.3,.687,83,2002
83,"Marvin O'Connor, G",JOES,27,33.0,18.0,6.5-14.9,.434,2.1-7.2,.289,3.0-4.2,.717,84,2002
84,"David Fanning, G",JMU,29,34.6,18.0,5.6-15.0,.372,2.6-7.2,.352,4.2-5.3,.799,85,2002
85,"Anthony Grundy, G",NCST,32,32.5,17.9,6.5-13.3,.493,1.5-4.2,.353,3.4-4.5,.755,86,2002
86,"Luke McDonald, G",DRKE,29,34.0,17.9,5.6-12.1,.460,3.1-7.4,.425,3.6-4.1,.866,87,2002
87,"Dwyane Wade, G",MARQ,31,29.2,17.8,6.9-14.4,.483,0.6-1.7,.346,3.4-4.9,.691,88,2002
88,"Gary Buchanan, G",NOVA,29,35.2,17.8,5.7-13.1,.433,3.1-7.3,.427,3.4-3.8,.899,89,2002
89,"Jarvis Hayes, G",UGA,27,33.5,17.8,7.0-16.0,.439,1.6-5.3,.303,2.1-2.8,.763,90,2002
90,"Darius Songaila, F",WAKE,32,30.3,17.8,5.9-11.3,.525,0.2-0.5,.333,5.8-6.8,.854,91,2002
91,"Damany Hendrix, F",LAM,29,27.8,17.7,5.3-13.0,.411,2.4-6.6,.365,4.6-5.5,.843,92,2002
92,"Rick Apodaca, G",HOF,32,36.8,17.7,5.9-15.4,.384,2.1-7.0,.296,3.8-5.2,.741,93,2002
93,"David Webber, G",CMU,28,37.5,17.7,5.8-14.3,.406,1.8-6.6,.276,4.3-7.0,.612,94,2002
94,"Wes Burtner, F",BEL,28,35.8,17.7,5.6-13.1,.425,3.6-9.9,.361,3.0-3.6,.830,95,2002
95,"Clay Tucker, F",MILW,29,31.1,17.6,6.4-14.6,.436,2.4-6.6,.361,2.4-3.4,.710,96,2002
96,"Greg Grays, G",DET,30,31.6,17.6,6.0-14.5,.411,3.0-7.9,.380,2.6-3.1,.840,97,2002
97,"Gregory Burks, G",PV,29,38.0,17.6,5.8-14.7,.393,1.8-5.7,.309,4.3-5.2,.816,98,2002
98,"Brett Blizzard, G",UNCW,31,36.1,17.5,5.9-14.3,.412,2.7-6.9,.390,3.1-4.2,.740,99,2002
99,"Ugonna Onyekwe, F",PENN,31,30.2,17.5,6.9-12.6,.551,0.7-1.9,.362,3.0-4.8,.620,100,2002
100,"Chris Moss, F",WVU,28,32.7,17.5,6.2-11.5,.542,0.0-0.1,.000,5.1-7.1,.719,101,2002
101,"Dimeco Childress, G",ETSU,28,33.4,17.5,6.4-14.0,.455,1.8-5.1,.352,3.0-3.8,.802,102,2002
102,"Tim Henderson, F",JKST,28,28.4,17.5,6.3-13.9,.449,2.2-6.3,.347,2.9-4.6,.615,103,2002
103,"Mike Dunleavy, F",DUKE,32,32.5,17.4,6.3-13.0,.487,2.5-6.7,.380,2.3-3.4,.676,104,2002
104,"Quinton Ross, G",SMU,29,34.6,17.4,5.6-13.3,.420,2.0-6.3,.319,4.2-5.5,.769,105,2002
105,"Jason Morgan, G",SFNY,28,33.3,17.4,5.7-14.8,.383,3.6-9.9,.361,2.5-3.1,.802,106,2002
106,"Brandon Hunter, F",OHIO,26,32.4,17.3,6.1-12.5,.489,1.0-2.6,.373,4.2-6.9,.603,107,2002
107,"Luke Recker, G",IOWA,34,33.1,17.3,5.8-12.8,.452,2.6-6.3,.423,3.1-3.5,.883,108,2002
108,"Willie Deane, G",PUR,30,29.5,17.3,5.6-13.0,.432,2.1-5.5,.380,3.9-5.1,.765,109,2002
109,"Bill Romano, F",QUIN,30,32.9,17.3,7.5-14.5,.515,0.0-0.0,.000,2.3-4.2,.551,110,2002
110,"DeShaun Williams, G",SYR,28,35.1,17.3,6.0-15.4,.391,2.4-7.5,.314,2.8-3.8,.738,111,2002
111,"Chad Prewitt, F",ASU,28,29.4,17.3,5.8-11.0,.531,1.2-2.9,.420,4.4-6.0,.732,112,2002
112,"Bernard King, G",TAMU,30,31.9,17.2,5.7-14.1,.405,1.8-5.6,.317,4.1-5.6,.726,113,2002
113,"D.J. Munir, G",STON,28,36.7,17.2,5.8-15.3,.375,1.9-5.7,.340,3.8-4.4,.869,114,2002
114,"Aleem Muhammed, G",MER,29,32.6,17.2,6.4-13.5,.472,1.3-3.7,.361,3.1-4.2,.724,115,2002
115,"Dalron Johnson, F",UNLV,30,31.2,17.2,6.6-14.4,.460,0.6-1.8,.327,3.3-3.9,.853,116,2002
116,"Randy Holcomb, F",SDSU,32,32.4,17.2,6.8-13.0,.519,0.4-1.2,.308,3.3-5.2,.636,117,2002
117,"Jermaine Boyette, G",WEB,29,29.8,17.1,5.7-12.5,.456,1.1-3.4,.320,4.7-6.4,.730,118,2002
118,"Willie Taylor, G",VCU,31,32.1,17.1,5.0-12.0,.417,2.2-6.2,.354,4.9-5.8,.850,119,2002
119,"Robbie Sieverding, G",UNI,29,35.8,17.1,5.0-11.3,.444,1.3-3.9,.330,5.8-6.7,.861,120,2002
0,"Ruben Douglas, G",UNM,28,35.1,28.0,7.8-19.6,.397,3.4-8.5,.395,9.0-10.8,.841,1,2003
1,"Henry Domercant, G",EIU,29,33.7,27.9,8.7-19.0,.458,2.9-6.8,.424,7.7-9.1,.844,2,2003
2,"Mike Helms, G",OAK,28,34.5,26.9,8.6-19.0,.452,2.6-7.0,.379,7.0-9.4,.745,3,2003
3,"Michael Watson, G",UMKC,29,38.8,25.5,8.5-22.6,.377,4.1-11.6,.350,4.4-5.9,.753,4,2003
4,"Troy Bell, G",BC,29,38.6,25.4,7.2-16.3,.443,3.4-8.4,.400,7.6-9.0,.846,5,2003
5,"Keydren (Keekee) Clark, G",SPU,29,38.2,24.9,8.0-20.1,.396,3.8-9.6,.392,5.2-6.1,.853,6,2003
6,"Luis Flores, G",MAN,29,38.8,24.8,7.8-17.0,.457,1.8-4.8,.384,7.4-8.2,.904,7,2003
7,"Chris Williams, G",BALL,30,35.8,24.5,7.5-17.6,.429,2.1-6.5,.327,7.3-8.5,.859,8,2003
8,"Kevin Martin, G",WCU,24,31.6,22.8,6.7-15.8,.425,2.1-6.6,.314,7.3-8.3,.879,9,2003
9,"Chris Kaman, C",CMU,29,34.2,22.7,7.9-12.4,.632,0.0-0.0,.000,7.0-9.3,.751,10,2003
10,"Carmelo Anthony, F",SYR,29,36.4,22.7,7.9-17.7,.448,1.6-5.0,.317,5.2-7.3,.716,11,2003
11,"Willie Green, G",DET,30,34.0,22.6,8.1-16.6,.490,1.2-3.3,.374,5.1-6.3,.805,12,2003
12,"Mike Sweetney, F",GTWN,29,32.0,22.6,7.8-14.2,.547,0.0-0.1,.000,7.0-9.8,.718,13,2003
13,"Ricky Minard, G-F",MORE,29,31.3,22.5,7.8-15.0,.516,1.9-5.1,.367,5.1-6.1,.837,14,2003
14,"Marcus Hatten, G",SJU,29,35.2,22.5,8.3-19.7,.424,1.5-5.3,.281,4.3-5.9,.733,15,2003
15,"Seth Doliboa, F",WRST,28,35.9,22.3,7.8-17.4,.446,2.4-6.3,.381,4.4-5.8,.765,16,2003
16,"Jason Conley, F",VMI,10,33.9,22.2,8.1-17.7,.458,1.6-6.1,.262,4.4-6.0,.733,17,2003
17,"Andre Emmett, G",TTU,29,36.6,22.1,8.9-17.8,.499,0.4-1.2,.306,4.0-5.6,.720,18,2003
18,"Andrew Wisniewski, G",CENT,28,33.9,22.0,7.4-14.7,.504,1.9-5.3,.361,5.4-6.4,.833,19,2003
19,"Julius Jenkins, G",GASO,27,35.0,21.7,7.9-17.4,.455,2.7-6.6,.418,3.1-4.3,.718,20,2003
20,"Ron Williamson, G",HOW,30,37.2,21.7,6.6-15.9,.412,3.5-7.9,.439,5.1-5.9,.864,21,2003
21,"Darshan Luckey, G",SFU,28,37.5,21.6,7.2-18.8,.383,1.6-5.9,.280,5.6-7.2,.777,22,2003
22,"Jermaine Hall, F",WAG,31,33.7,21.6,8.6-15.0,.578,0.2-0.8,.280,4.1-5.7,.712,23,2003
23,"Brandon Hunter, F",OHIO,30,38.3,21.5,7.2-13.8,.523,0.4-1.2,.297,6.6-11.2,.594,24,2003
24,"Dwyane Wade, G",MARQ,28,31.9,21.5,7.5-14.9,.504,0.4-1.3,.297,6.1-7.8,.776,25,2003
25,"Ron Slay, F",TENN,28,34.1,21.4,7.4-15.0,.490,1.4-3.8,.381,5.3-6.7,.786,26,2003
26,"Brett Blizzard, G",UNCW,30,35.2,21.3,7.3-15.7,.463,3.5-7.8,.447,3.3-4.3,.762,27,2003
27,"Marques Green, G",SBON,27,37.1,21.3,6.7-17.1,.395,3.5-8.9,.392,4.3-4.9,.879,28,2003
28,"Antonio Gates, F",KENT,30,33.2,20.8,7.6-15.7,.482,0.5-1.4,.349,5.1-7.3,.703,29,2003
29,"Matt Carroll, G",ND,31,34.9,20.6,6.6-14.8,.448,3.0-7.4,.408,4.4-5.1,.849,30,2003
30,"Derrick Tarver, G",AKR,28,34.3,20.6,6.9-14.5,.472,1.9-5.8,.333,5.0-7.7,.651,31,2003
31,"Terrence Woods, G",FAMU,28,29.2,20.5,6.0-13.5,.444,5.0-10.9,.457,3.6-4.0,.885,32,2003
32,"Tee Trotter, G",UMES,28,37.7,20.5,6.5-16.3,.400,3.0-7.7,.386,4.4-5.4,.821,33,2003
33,"Shawn Hall, G",APP,28,31.3,20.5,6.8-18.6,.363,3.7-11.0,.333,3.3-4.0,.821,34,2003
34,"David West, F",XAV,30,36.7,20.3,6.7-13.0,.519,0.3-0.9,.346,6.6-8.0,.821,35,2003
35,"Jermaine Boyette, G",WEB,31,31.7,20.3,6.1-11.1,.551,1.0-2.7,.353,7.2-8.8,.810,36,2003
36,"Ronald Blackshear, G",MRSH,29,32.8,20.3,6.6-16.6,.395,3.4-9.1,.370,3.8-4.3,.888,37,2003
37,"Chris Monroe, G",GW,29,33.6,20.3,5.9-13.8,.431,2.0-6.1,.333,6.4-8.9,.714,38,2003
38,"Joe Shipp, F",CAL,29,35.3,20.3,7.7-14.8,.521,1.3-3.8,.358,3.5-4.6,.754,39,2003
39,"Quinton Ross, G",SMU,30,35.2,20.3,6.4-14.1,.453,1.4-4.7,.298,6.1-7.7,.793,40,2003
40,"Marcus Banks, G",UNLV,31,36.0,20.2,6.9-13.5,.511,1.3-3.8,.336,5.1-6.7,.761,41,2003
41,"Adam Hess, F",W&M;,28,36.0,20.1,6.8-14.6,.467,2.4-6.5,.372,4.1-4.8,.844,42,2003
42,"Brian Cook, F",ILL,28,31.1,20.1,6.8-13.8,.494,0.9-3.0,.310,5.6-6.9,.813,43,2003
43,"Drew Schifino, F",WVU,29,34.2,20.1,7.6-16.8,.452,0.9-2.9,.301,4.0-6.0,.669,44,2003
44,"Josh Howard, F",WAKE,29,32.3,20.0,6.8-14.0,.482,1.8-4.7,.393,4.7-5.7,.823,45,2003
45,"Vernard Hollins, G",WRST,28,36.6,19.9,7.0-14.7,.478,0.1-1.0,.103,5.7-8.1,.702,46,2003
46,"Luke Ridnour, G",ORE,32,35.3,19.9,6.3-14.3,.438,2.5-6.5,.391,4.8-5.5,.881,47,2003
47,"Craig Smith, F",BC,29,31.8,19.8,7.7-13.1,.591,0.1-0.5,.200,4.2-6.3,.672,48,2003
48,"Carl English, G",HAW,29,35.7,19.7,6.3-15.0,.424,2.9-7.4,.388,4.1-5.6,.736,49,2003
49,"Taylor Coppenrath, F",UVM,30,32.3,19.5,6.8-14.6,.465,1.2-3.1,.387,4.7-6.4,.743,50,2003
50,"Ben Gordon, G",CONN,30,33.7,19.5,6.4-14.5,.444,2.4-5.8,.411,4.3-5.3,.805,51,2003
51,"Karim Souchu, F",FUR,31,31.1,19.5,7.2-14.1,.509,1.8-5.3,.341,3.3-4.7,.699,52,2003
52,"Hollis Price, G",OKLA,30,34.2,19.5,6.1-13.0,.471,2.9-6.6,.444,4.3-4.6,.934,53,2003
53,"Earl Hunt, F",BRWN,26,35.8,19.4,6.4-14.3,.445,1.7-4.8,.363,4.9-5.8,.836,54,2003
54,"Jameer Nelson, G",JOES,29,34.6,19.3,6.3-14.6,.434,2.1-6.3,.335,4.6-5.9,.767,55,2003
55,"Danny Granger, F",BRAD,14,27.1,19.2,7.1-13.6,.518,0.4-1.4,.300,4.6-6.8,.684,56,2003
56,"Maurice Carter, G",RMU,27,36.9,19.2,6.0-14.5,.417,3.1-8.1,.382,4.0-5.5,.730,57,2003
57,"Ike Diogu, F-C",ASU,30,32.2,19.1,6.5-10.7,.609,0.2-0.7,.318,5.8-7.9,.735,58,2003
58,"Antawn Dobie, G",LIU,26,38.4,19.1,6.3-15.5,.404,1.3-5.4,.250,5.2-6.4,.813,59,2003
59,"Cedrick Banks, G",UIC,25,32.9,19.0,7.4-16.6,.446,2.2-5.7,.380,2.1-3.2,.642,60,2003
60,"Chris Davis, G",UNT,26,34.8,19.0,6.0-14.1,.428,1.0-3.7,.284,5.9-7.7,.769,61,2003
61,"Phillip Gilbert, G",BRAD,30,36.3,18.9,6.7-15.4,.432,2.6-6.6,.394,3.0-4.0,.750,62,2003
62,"Jamar Wilson, G",ALBY,27,37.2,18.9,6.8-13.9,.488,1.2-3.4,.359,4.1-5.0,.815,63,2003
63,"James Moore, F",NMSU,23,30.8,18.8,6.8-11.6,.584,0.0-0.2,.000,5.2-6.4,.816,64,2003
64,"Darius Rice, F",MIA,27,33.4,18.8,6.3-14.8,.426,2.5-6.8,.364,3.7-4.9,.763,65,2003
65,"Desmon Farmer, G",USC,30,32.6,18.7,6.1-15.1,.401,2.1-6.5,.323,4.5-5.4,.828,66,2003
66,"Danny Gathings, F",HP,24,32.8,18.7,7.9-13.9,.571,0.1-0.9,.143,2.7-5.1,.528,67,2003
67,"Gary Neal, G",LAS,29,32.1,18.6,5.8-14.6,.400,3.0-7.9,.374,4.0-4.9,.817,68,2003
68,"Torrey Butler, F",CCAR,28,33.2,18.6,6.5-13.7,.471,1.5-4.0,.363,4.2-5.3,.797,69,2003
69,"Radee Skipworth, F",VMI,30,32.6,18.6,6.9-15.0,.463,1.1-3.4,.320,3.6-5.5,.665,70,2003
70,"Hector Romero, F",UNO,27,33.3,18.6,6.1-13.6,.448,0.8-2.3,.344,5.6-7.5,.744,71,2003
71,"Ryan Gomes, F",PROV,29,35.8,18.6,6.7-12.8,.527,0.0-0.1,.000,5.1-6.1,.847,72,2003
72,"Ra'Kim Hollis, G",TXSO,30,33.7,18.5,5.5-12.4,.445,2.9-7.2,.398,4.7-6.5,.714,73,2003
73,"Brent Darby, G",OSU,31,38.1,18.5,5.1-13.4,.382,1.7-5.1,.342,6.6-8.1,.813,74,2003
74,"Chris Thomas, G",ND,31,36.3,18.5,6.1-15.1,.403,2.4-6.3,.376,3.9-4.5,.871,75,2003
75,"Darrell Tucker, F",SF,23,32.5,18.5,6.5-13.3,.489,1.9-4.3,.434,3.7-4.7,.778,76,2003
76,"Nick Collison, F",KU,32,32.0,18.4,7.3-13.5,.538,0.4-1.2,.351,3.5-5.1,.677,77,2003
77,"David Bailey, G",L-IL,30,33.3,18.4,6.1-16.8,.362,1.7-6.3,.271,4.6-5.6,.815,78,2003
78,"Juan Mendez, F",NIAG,29,34.6,18.4,7.1-11.9,.602,0.0-0.1,.000,4.1-5.6,.739,79,2003
79,"Clay Tucker, F",MILW,29,32.9,18.3,6.2-14.6,.429,1.8-6.1,.292,4.1-5.9,.686,80,2003
80,"Morris Finley, G",UAB,31,31.1,18.3,5.9-14.1,.421,2.9-7.0,.412,3.6-4.4,.816,81,2003
81,"Jerry Johnson, G",RID,27,35.5,18.3,6.1-16.6,.365,2.6-8.7,.292,3.6-4.2,.851,82,2003
82,"Jarvis Hayes, G",UGA,27,32.3,18.3,6.9-13.6,.503,2.0-4.7,.425,2.6-3.3,.784,83,2003
83,"Marcus Moore, G",WSU,18,33.8,18.2,5.6-16.1,.349,2.5-7.8,.321,4.5-6.0,.750,84,2003
84,"Willie Deane, G",PUR,28,28.7,18.2,5.6-13.1,.426,1.6-5.0,.319,5.5-7.0,.781,85,2003
85,"Jason Keep, C",USD,29,26.4,18.2,6.6-10.7,.618,0.0-0.1,.500,5.0-9.0,.558,86,2003
86,"Richard Toussaint, F",COOK,30,32.4,18.2,6.1-14.8,.413,0.5-1.8,.291,5.4-7.1,.769,87,2003
87,"Romain Sato, G",XAV,30,36.7,18.1,5.7-13.7,.416,2.7-7.7,.346,4.1-5.0,.813,88,2003
88,"Rawle Marshall, G",OAK,28,34.8,18.1,6.4-14.4,.441,1.0-3.8,.255,4.4-5.8,.770,89,2003
89,"Gregory Burks, G",PV,29,36.1,18.1,6.0-13.8,.436,1.4-4.2,.336,4.6-5.6,.816,90,2003
90,"Rick Apodaca, G",HOF,15,38.8,18.1,5.5-15.6,.355,3.0-9.1,.331,4.0-5.7,.698,91,2003
