,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,RK,YEAR
0,"Jason Conley, F",VMI,28,34.3,29.3,10.2-21.8,.467,2.8-8.5,.333,6.1-7.5,.818,1,2002
1,"Henry Domercant, G",EIU,31,33.1,26.4,8.5-19.4,.437,3.4-8.7,.387,6.1-6.8,.892,2,2002
2,"Mire Chatman, G",TRGV,30,34.2,25.3,8.8-18.3,.484,2.2-6.2,.349,5.5-7.9,.699,3,2002
3,"J.R. Bremer, G",SBON,29,38.0,24.4,7.6-18.4,.413,3.0-8.7,.340,6.2-7.7,.812,4,2002
4,"Melvin Ely, C",FRES,27,35.4,23.5,8.9-15.8,.563,0.0-0.0,.000,5.7-7.7,.744,5,2002
5,"Nick Stapleton, G",PEAY,32,37.3,23.2,8.4-18.8,.449,2.3-6.7,.335,4.1-5.5,.739,6,2002
6,"Keith McLeod, G",BGSU,32,33.7,22.9,6.8-15.1,.447,2.7-6.6,.408,6.7-8.2,.814,7,2002
7,"Lynn Greer, G",TEM,29,39.8,22.6,7.1-18.0,.393,2.9-7.8,.374,5.5-6.3,.870,8,2002
8,"Chris Davis, G",UNT,29,33.0,22.6,7.5-15.6,.479,1.6-4.7,.336,6.0-7.9,.760,9,2002
9,"Ricky Minard, G-F",MORE,29,35.6,22.3,7.8-15.8,.496,2.2-5.8,.389,4.4-5.6,.784,10,2002
10,"Kevin Martin, G",WCU,28,32.6,22.1,7.0-14.5,.484,2.6-6.8,.382,5.5-6.6,.828,11,2002
11,"Casey Jacobsen, G",STAN,28,35.2,22.0,6.9-15.5,.444,2.3-5.9,.380,6.0-7.8,.767,12,2002
12,"Steve Logan, G",CIN,33,34.0,22.0,7.0-15.3,.456,2.4-6.5,.376,5.6-6.5,.869,13,2002
13,"Michael Watson, G",UMKC,29,39.3,21.9,7.6-21.6,.353,3.2-9.5,.333,3.5-4.4,.783,14,2002
14,"David Bailey, G",L-IL,30,31.2,21.7,7.5-17.3,.432,1.8-6.0,.300,5.0-6.7,.745,15,2002
15,"Jason Williams, G",DUKE,32,33.8,21.7,7.2-15.5,.465,3.1-8.1,.384,4.2-6.1,.679,16,2002
16,"Richard Toussaint, F",COOK,29,33.5,21.6,6.8-14.7,.462,0.1-0.5,.133,7.9-9.9,.795,17,2002
17,"Troy Bell, G",BC,31,37.4,21.4,6.4-15.7,.405,2.0-6.7,.298,6.7-7.6,.885,18,2002
18,"Leon Rodgers, F",NIU,28,32.9,21.3,7.0-13.7,.508,1.2-2.6,.446,6.2-7.8,.797,19,2002
19,"Damon Hancock, G",SMU,27,32.2,21.2,6.8-15.9,.428,1.8-5.0,.353,5.9-8.9,.661,20,2002
20,"Antawn Dobie, G",LIU,26,34.8,21.2,7.2-16.0,.452,1.8-6.2,.300,4.8-6.8,.708,21,2002
21,"Chris Monroe, G",GW,28,35.3,21.1,6.0-13.6,.437,2.0-5.3,.369,7.3-9.5,.763,22,2002
22,"Reece Gaines, G",LOU,30,32.8,21.1,6.6-14.4,.457,2.8-7.5,.375,5.1-6.4,.798,23,2002
23,"Dajuan Wagner, G",MEM,31,32.0,21.1,7.3-18.5,.393,1.7-5.7,.292,4.9-6.5,.754,24,2002
24,"Jermaine Hall, F",WAG,28,31.7,21.1,8.3-13.9,.601,0.1-0.3,.444,4.3-5.6,.771,25,2002
25,"Rasual Butler, F",LAS,32,39.1,21.0,7.3-16.8,.435,1.8-4.9,.361,4.6-5.4,.855,26,2002
26,"Thomas Terrell, F",GAST,30,38.2,20.9,7.1-15.4,.460,3.1-7.8,.399,3.7-4.7,.787,27,2002
27,"Dan Dickau, G",GONZ,31,34.5,20.8,6.1-13.5,.450,3.6-7.8,.467,5.1-5.8,.872,28,2002
28,"Desmond Cambridge, G",AAMU,29,29.5,20.7,6.0-17.1,.353,2.8-9.1,.303,5.9-7.6,.773,29,2002
29,"Jerry Green, G",UCI,31,36.5,20.6,6.6-13.8,.480,1.5-4.1,.370,5.8-7.1,.822,30,2002
30,"Jason Gardner, G",ARIZ,31,38.1,20.5,5.9-13.7,.431,3.2-8.3,.391,5.5-6.8,.802,31,2002
31,"Drew Gooden, F",KU,32,30.1,20.4,7.9-15.6,.510,0.3-0.9,.276,4.3-5.6,.756,32,2002
32,"Justin Burdine, G",MURR,31,30.4,20.4,7.5-17.3,.434,3.0-8.2,.370,2.4-3.2,.730,33,2002
