,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%,RK,YEAR
47,"Phil Forte III, G",OKST,3,27.7,22.0,6.7-12.3,.541,3.0-8.0,.375,5.7-5.7,1.000,48,2017
48,"Jeremy Senglin, G",WEB,3,31.7,22.0,7.7-14.0,.548,4.7-9.0,.519,2.0-3.0,.667,49,2017
49,"Obi Enechionyia, F",TEM,3,36.0,22.0,8.0-16.0,.500,2.7-5.7,.471,3.3-4.7,.714,50,2017
50,"Quinndary Weatherspoon, G",MSST,3,33.3,22.0,8.0-15.3,.522,1.7-4.3,.385,4.3-4.7,.929,51,2017
51,"Joseph Kilgore, G",AMCC,2,32.5,22.0,8.0-13.0,.615,0.5-2.5,.200,5.5-7.0,.786,52,2017
52,"C.J. Bryce, G",UNCW,2,34.0,22.0,10.0-18.0,.556,1.0-4.5,.222,1.0-2.5,.400,53,2017
53,"Charlie Moore, G",CAL,2,30.5,22.0,5.5-14.0,.393,2.0-6.0,.333,9.0-11.0,.818,54,2017
54,"Rob Gray Jr., G",HOU,1,26.0,22.0,7.0-13.0,.538,4.0-8.0,.500,4.0-6.0,.667,55,2017
55,"Josh Robinson, G",PEAY,4,36.5,21.8,7.0-15.8,.444,2.5-7.3,.345,5.3-6.8,.778,56,2017
56,"Jonathan Wade, G",NORF,4,31.3,21.8,7.0-13.8,.509,1.8-3.3,.538,6.0-8.3,.727,57,2017
57,"Jonathan Williams, G",TOL,3,30.3,21.7,7.0-17.3,.404,3.0-7.7,.391,4.7-6.0,.778,58,2017
58,"Shavar Newkirk, G",JOES,3,33.7,21.7,6.7-13.3,.500,1.7-3.7,.455,6.7-7.7,.870,59,2017
59,"Braxton Tucker, F",PRST,3,33.0,21.7,8.7-15.3,.565,1.0-2.3,.429,3.3-4.7,.714,60,2017
60,"Reid Travis, F",STAN,3,29.3,21.7,6.7-11.3,.588,0.0-0.0,.000,8.3-12.7,.658,61,2017
61,"Yante Maten, F",UGA,3,34.7,21.7,8.0-13.7,.585,1.3-3.0,.444,4.3-6.0,.722,62,2017
