,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK
95,"Devin Wilson, G",VT,33,30.0,140,4.2,63,1.9,5.7,2.22,96
96,"Wesley Saunders, G",HARV,29,34.2,123,4.2,76,2.6,5.0,1.62,97
97,"Petey McClain, G",ETSU,30,21.0,127,4.2,41,1.4,8.1,3.10,98
98,"Quinton Hooker, G",UND,30,34.2,127,4.2,67,2.2,5.0,1.90,99
99,"Brandon Goodwin, G",UCF,30,33.8,127,4.2,88,2.9,5.0,1.44,100
0,"Kay Felder, G",OAK,32,36.8,296,9.3,110,3.4,10.1,2.69,1
1,"Jordan Johnson, G",MILW,33,35.2,267,8.1,91,2.8,9.2,2.93,2
2,"Jaaron Simmons, G",OHIO,32,36.2,250,7.8,128,4.0,8.6,1.95,3
3,"Denzel Valentine, G",MSU,30,32.8,229,7.6,79,2.6,9.3,2.90,4
4,"Kyle Collinsworth, G",BYU,33,34.1,244,7.4,112,3.4,8.7,2.18,5
5,"Tyler Ulis, G",UK,33,36.9,236,7.2,62,1.9,7.7,3.81,6
6,"Juan'ya Green, G",HOF,33,37.6,233,7.1,97,2.9,7.5,2.40,7
7,"Monte Morris, G",ISU,32,38.1,221,6.9,54,1.7,7.3,4.09,8
8,"Bryant McIntosh, G",NW,32,35.7,213,6.7,78,2.4,7.5,2.73,9
9,"Maurice Watson Jr., G",CREI,32,31.5,210,6.6,106,3.3,8.3,1.98,10
10,"Lester Medford, G",BAY,33,32.4,216,6.5,78,2.4,8.1,2.77,11
11,"Kris Dunn, G",PROV,31,33.4,199,6.4,110,3.5,7.7,1.81,12
12,"Jabril Durham, G",ARK,32,27.8,204,6.4,57,1.8,9.2,3.58,13
13,"Devonte Hall, G",NWST,27,29.1,171,6.3,80,3.0,8.7,2.14,14
14,"Austin Luke, G",BEL,31,27.8,195,6.3,116,3.7,9.0,1.68,15
15,"Emmett Naar, G",SMC,32,37.0,201,6.3,73,2.3,6.8,2.75,16
16,"Mike Gesell, G",IOWA,31,29.9,194,6.3,59,1.9,8.4,3.29,17
17,"Alex Hamilton, G",LT,32,35.2,199,6.2,101,3.2,7.1,1.97,18
18,"A.J. English, G",IONA,27,35.8,167,6.2,94,3.5,6.9,1.78,19
19,"Erick Neal, G",UTA,32,31.3,197,6.2,81,2.5,7.9,2.43,20
20,"Joseph Chartouny, G",FOR,25,32.6,152,6.1,70,2.8,7.5,2.17,21
21,"Kahron Ross, G",LEH,32,34.0,194,6.1,65,2.0,7.1,2.98,22
22,"Dallas Moore, G",UNF,33,35.6,200,6.1,59,1.8,6.8,3.39,23
23,"Tra-Deon Hollins, G",OMA,31,32.2,187,6.0,93,3.0,7.5,2.01,24
24,"Chris Fowler, G",CMU,25,36.4,147,5.9,66,2.6,6.5,2.23,25
25,"Jon Elmore, G",MRSH,25,34.6,145,5.8,64,2.6,6.7,2.27,26
26,"Brandon Brown, G",LMU,31,31.7,177,5.7,79,2.5,7.2,2.24,27
27,"Cornell Johnston, G",EIU,30,37.7,171,5.7,58,1.9,6.0,2.95,28
28,"Max Guercy, G",RICE,32,33.6,182,5.7,93,2.9,6.8,1.96,29
29,"Fred VanVleet, G",WICH,28,28.5,159,5.7,48,1.7,8.0,3.31,30
30,"P.J. Boutte, G",CIT,31,25.3,175,5.6,81,2.6,8.9,2.16,31
31,"Donte Thomas, G",ARST,26,31.8,146,5.6,76,2.9,7.1,1.92,32
32,"Tavon Blackmon, G",BRWN,26,34.4,144,5.5,83,3.2,6.4,1.73,33
33,"Julian Jacobs, G",USC,30,31.0,166,5.5,78,2.6,7.1,2.13,34
34,"Joe Rahon, G",SMC,32,36.8,177,5.5,57,1.8,6.0,3.11,35
35,"Yogi Ferrell, G",IND,32,34.6,177,5.5,83,2.6,6.4,2.13,36
36,"Roderick Bobbitt, G",HAW,31,34.0,169,5.5,90,2.9,6.4,1.88,37
37,"Nick Coppola, G",ULM,33,37.0,178,5.4,69,2.1,5.8,2.58,38
38,"Ethan Telfair, G",IDST,31,35.7,167,5.4,112,3.6,6.0,1.49,39
39,"Stephen Brown, G",BUCK,30,28.5,160,5.3,61,2.0,7.5,2.62,40
40,"Shane McLaughlin, G",BRY,31,36.6,165,5.3,95,3.1,5.8,1.74,41
41,"DeWayne Russell, G",GCU,31,30.8,165,5.3,69,2.2,6.9,2.39,42
42,"Hameed Ali, G",AMCC,32,30.5,170,5.3,65,2.0,7.0,2.62,43
43,"Rakiya Battle, G",AAMU,29,26.1,153,5.3,59,2.0,8.1,2.59,44
44,"Nic Moore, G",SMU,29,34.4,152,5.2,66,2.3,6.1,2.30,45
45,"Bryce Alford, G",UCLA,32,36.3,167,5.2,63,2.0,5.8,2.65,46
46,"Wade Baldwin IV, G",VAN,32,30.3,167,5.2,87,2.7,6.9,1.92,47
47,"Wes Washpun, G",UNI,34,34.4,177,5.2,88,2.6,6.1,2.01,48
48,"Tyler Wilson, G",MAN,31,28.5,161,5.2,80,2.6,7.3,2.01,49
49,"Austin Tillotson, G",COLG,30,34.7,155,5.2,72,2.4,6.0,2.15,50
50,"Nick Norton, G",UAB,31,27.4,160,5.2,51,1.6,7.5,3.14,51
51,"Dominic Artis, G",UTEP,33,32.2,170,5.2,69,2.1,6.4,2.46,52
52,"Jerome Segura, G",FAIR,31,29.8,159,5.1,89,2.9,6.9,1.79,53
53,"Melo Trimble, G",MD,33,32.7,169,5.1,88,2.7,6.3,1.92,54
54,"Marcel Davis, G",UVU,30,33.4,153,5.1,82,2.7,6.1,1.87,55
55,"Marcus Colbert, G",MTST,31,33.5,158,5.1,83,2.7,6.1,1.90,56
56,"Alex Caruso, G",TAMU,34,28.4,173,5.1,75,2.2,7.2,2.31,57
57,"Gary Payton II, G",ORST,31,34.1,157,5.1,73,2.4,5.9,2.15,58
58,"James Robinson, G",PITT,32,31.8,162,5.1,41,1.3,6.4,3.95,59
59,"Diante Baldwin, G",UNCG,32,33.1,162,5.1,73,2.3,6.1,2.22,60
60,"Rayshawn Simmons, G",CMU,32,33.1,161,5.0,72,2.3,6.1,2.24,61
61,"Isaiah Whitehead, G",HALL,33,32.2,165,5.0,117,3.5,6.2,1.41,62
62,"Justin Bibbins, G",LBSU,32,30.9,160,5.0,58,1.8,6.5,2.76,63
63,"Jack Gibbs, G",DAV,30,35.4,150,5.0,98,3.3,5.6,1.53,64
64,"Jaylen Adams, G",SBON,29,37.4,145,5.0,82,2.8,5.3,1.77,65
65,"Christopher Hyder, G",SOU,34,35.9,169,5.0,58,1.7,5.5,2.91,66
66,"Paul Jackson, G",EKY,30,27.2,149,5.0,67,2.2,7.3,2.22,67
67,"Alec Wintering, G",PORT,32,31.6,158,4.9,102,3.2,6.3,1.55,68
68,"Isaiah Taylor, G",TEX,32,30.8,158,4.9,58,1.8,6.4,2.72,69
69,"J.J. Thompson, G",TRGV,28,32.1,137,4.9,68,2.4,6.1,2.01,70
70,"JeQuan Lewis, G",VCU,34,28.1,166,4.9,86,2.5,7.0,1.93,71
71,"Josh Brown, G",TEM,32,35.9,156,4.9,44,1.4,5.4,3.55,72
72,"Devin Watson, G",SF,30,34.7,146,4.9,89,3.0,5.6,1.64,73
73,"Phillip Leonard, G",MER,33,27.5,160,4.8,60,1.8,7.1,2.67,74
74,"Andrew Andrews, G",WASH,32,33.8,155,4.8,88,2.8,5.7,1.76,75
75,"Troy Caupain, G",CIN,32,33.4,155,4.8,58,1.8,5.8,2.67,76
76,"Demetrius Jackson, G",ND,31,35.6,150,4.8,66,2.1,5.4,2.27,77
77,"Daniel Hamilton, G",CONN,34,31.7,164,4.8,81,2.4,6.1,2.02,78
78,"Rashun Davis, G",RAD,31,31.5,149,4.8,91,2.9,6.1,1.64,79
79,"Kris Yanku, G",NAU,29,31.3,139,4.8,95,3.3,6.1,1.46,80
80,"Zay Jackson, G",SELA,33,32.2,158,4.8,119,3.6,6.0,1.33,81
81,"Ben Simmons, F",LSU,33,34.9,158,4.8,111,3.4,5.5,1.42,82
82,"Eric Garcia, G",WOF,32,30.7,153,4.8,47,1.5,6.2,3.26,83
83,"Dylan Cox, G",ARMY,30,27.9,143,4.8,73,2.4,6.8,1.96,84
84,"Mitchell Badillo, G",IW,29,31.6,138,4.8,67,2.3,6.0,2.06,85
85,"Jabari Sandifer, G",WIU,27,32.6,128,4.7,63,2.3,5.8,2.03,86
86,"Roosevelt Jones, F",BUT,31,33.5,146,4.7,73,2.4,5.6,2.00,87
87,"Aakim Saintil, G",LIU,31,29.4,146,4.7,90,2.9,6.4,1.62,88
88,"Jarvis Garrett, G",URI,31,34.3,146,4.7,75,2.4,5.5,1.95,89
89,"Martin Hermannsson, G",LIU,31,36.2,146,4.7,68,2.2,5.2,2.15,90
90,"Josh Hagins, G",UALR,33,30.3,155,4.7,58,1.8,6.2,2.67,91
91,"Jordan McLaughlin, G",USC,33,32.3,155,4.7,77,2.3,5.8,2.01,92
92,"Kavon Stewart, G",RMU,31,31.0,145,4.7,99,3.2,6.0,1.46,93
93,"Frank Mason III, G",KU,34,33.3,159,4.7,63,1.9,5.6,2.52,94
94,"Jon Davis, G",CHAR,33,32.3,154,4.7,86,2.6,5.8,1.79,95
95,"David Cohn, G",W&M;,31,29.8,144,4.6,50,1.6,6.2,2.88,96
96,"Traci Carter, G",MARQ,33,23.9,153,4.6,77,2.3,7.7,1.99,97
97,"Eric Washington, G",M-OH,30,33.2,138,4.6,82,2.7,5.5,1.68,98
98,"Micah Mason, G",DUQ,31,35.8,142,4.6,61,2.0,5.1,2.33,99
99,"Nathan Moran, G",LIP,33,27.2,151,4.6,73,2.2,6.7,2.07,100
0,"Dominic Artis, G",UTEP,1,28.0,13,13.0,5,5.0,18.6,2.60,1
1,"Kahron Ross, G",LEH,1,37.0,12,12.0,3,3.0,13.0,4.00,2
2,"Kyron Cartwright, G",PROV,1,32.0,12,12.0,2,2.0,15.0,6.00,3
3,"Isaiah Nichols, G",SJSU,1,25.0,10,10.0,2,2.0,16.0,5.00,4
4,"Maurice Watson Jr., G",CREI,2,35.0,19,9.5,12,6.0,10.9,1.58,5
5,"Alec Wintering, G",PORT,2,37.5,19,9.5,8,4.0,10.1,2.38,6
6,"Emmett Naar, G",SMC,2,32.0,19,9.5,2,1.0,11.9,9.50,7
7,"Wes VanBeck, G",HOU,1,21.0,9,9.0,1,1.0,17.1,9.00,8
8,"Manu Lecomte, G",BAY,2,35.0,17,8.5,3,1.5,9.7,5.67,9
9,"Joseph Chartouny, G",FOR,2,31.5,17,8.5,5,2.5,10.8,3.40,10
10,"Donte Thomas, G",ARST,2,27.5,17,8.5,5,2.5,12.4,3.40,11
11,"C.J. Jackson, G",OSU,2,25.0,17,8.5,5,2.5,13.6,3.40,12
12,"Lonzo Ball, G",UCLA,2,36.0,17,8.5,6,3.0,9.4,2.83,13
13,"Luke Eddy, G",ELON,2,27.5,16,8.0,7,3.5,11.6,2.29,14
14,"Bryant Crawford, G",WAKE,2,29.0,16,8.0,4,2.0,11.0,4.00,15
15,"Kasheem Thomas, G",CLEV,2,35.0,16,8.0,4,2.0,9.1,4.00,16
16,"Jaylen Adams, G",SBON,1,32.0,8,8.0,3,3.0,10.0,2.67,17
17,"John Gillon, G",SYR,2,19.5,15,7.5,1,0.5,15.4,15.00,18
18,"Jerome Segura, G",FAIR,2,30.5,15,7.5,4,2.0,9.8,3.75,19
19,"Daniel Fowler, G",FUR,2,34.0,15,7.5,3,1.5,8.8,5.00,20
20,"Ethan Telfair, G",IDST,2,39.0,15,7.5,10,5.0,7.7,1.50,21
21,"Jaylen Fisher, G",TCU,2,27.0,15,7.5,4,2.0,11.1,3.75,22
22,"De'Aaron Fox, G",UK,3,30.7,21,7.0,8,2.7,9.1,2.63,23
23,"Jaaron Simmons, G",OHIO,2,28.0,14,7.0,10,5.0,10.0,1.40,24
24,"Monte Morris, G",ISU,2,28.5,14,7.0,2,1.0,9.8,7.00,25
25,"T.J. Williams, G",NE,2,38.0,14,7.0,6,3.0,7.4,2.33,26
26,"Frank Mason III, G",KU,2,37.5,14,7.0,4,2.0,7.5,3.50,27
27,"Jeremiah Martin, G",MEM,2,34.0,14,7.0,3,1.5,8.2,4.67,28
28,"I.J. Ready, G",MSST,1,31.0,7,7.0,0,0.0,9.0,0.00,29
29,"Phil Winston, G",QUIN,1,20.0,7,7.0,2,2.0,14.0,3.50,30
30,"Trae Bell-Haynes, G",UVM,3,30.3,20,6.7,12,4.0,8.8,1.67,31
31,"Erick Neal, G",UTA,3,31.3,20,6.7,8,2.7,8.5,2.50,32
32,"Madison Jones, G",HALL,2,26.5,13,6.5,3,1.5,9.8,4.33,33
33,"Denzel Ingram, G",UNCW,2,28.0,13,6.5,3,1.5,9.3,4.33,34
34,"Stevie Clark, G",OAK,2,29.0,13,6.5,3,1.5,9.0,4.33,35
35,"Jordan Strawberry, G",MER,2,22.5,13,6.5,5,2.5,11.6,2.60,36
36,"B.J. Tyson, G",ECU,2,34.5,13,6.5,6,3.0,7.5,2.17,37
37,"Everett Clemons, G",INST,2,37.5,13,6.5,3,1.5,6.9,4.33,38
38,"Jaylen Shead, G",CP,2,29.0,13,6.5,4,2.0,9.0,3.25,39
39,"Dejon Jarreau, G",UMASS,2,24.0,13,6.5,5,2.5,10.8,2.60,40
40,"Shaq Carr, G",GCU,2,37.0,13,6.5,13,6.5,7.0,1.00,41
41,"Jalin Hart, G",IW,2,27.0,13,6.5,1,0.5,9.6,13.00,42
42,"Jawun Evans, G",OKST,3,25.3,19,6.3,6,2.0,10.0,3.17,43
43,"Tra-Deon Hollins, G",OMA,3,29.0,19,6.3,12,4.0,8.7,1.58,44
44,"Preston Parks, G",CIT,3,23.0,18,6.0,13,4.3,10.4,1.38,45
45,"T.J. Cline, F",RICH,2,29.0,12,6.0,7,3.5,8.3,1.71,46
46,"Shane Rector, G",USU,2,28.5,12,6.0,3,1.5,8.4,4.00,47
47,"David Cohn, G",W&M;,2,21.0,12,6.0,5,2.5,11.4,2.40,48
48,"Jeremy Major, G",PEPP,2,33.0,12,6.0,1,0.5,7.3,12.00,49
49,"Jonathan Stark, G",MURR,2,35.0,12,6.0,8,4.0,6.9,1.50,50
50,"Jaleen Smith, G",UNH,2,37.5,12,6.0,6,3.0,6.4,2.00,51
51,"Josh Cuthbertson, F",UPST,2,29.0,12,6.0,8,4.0,8.3,1.50,52
52,"Mark Alstork, G",WRST,2,35.5,12,6.0,13,6.5,6.8,0.92,53
53,"Nick Lindner, G",LAF,2,31.0,12,6.0,8,4.0,7.7,1.50,54
54,"Nick Coppola, G",ULM,2,32.0,12,6.0,0,0.0,7.5,0.00,55
55,"Francisco Santiago, G",YSU,2,36.5,12,6.0,2,1.0,6.6,6.00,56
56,"Vince Edwards, F",PUR,2,33.0,12,6.0,6,3.0,7.3,2.00,57
57,"Jacob Van, G",AFA,2,21.5,12,6.0,0,0.0,11.2,0.00,58
58,"Dazon Ingram, G",ALA,2,33.0,12,6.0,3,1.5,7.3,4.00,59
59,"Frank Howard, G",SYR,2,21.0,12,6.0,4,2.0,11.4,3.00,60
60,"Skylar Mays, G",LSU,2,21.5,12,6.0,3,1.5,11.2,4.00,61
61,"Ronnie Rousseau III, G",MOST,2,29.0,12,6.0,1,0.5,8.3,12.00,62
62,"Anthony Dallier, G",YALE,1,37.0,6,6.0,1,1.0,6.5,6.00,63
63,"Austin Luke, G",BEL,1,29.0,6,6.0,0,0.0,8.3,0.00,64
64,"Galen Robinson Jr., G",HOU,1,26.0,6,6.0,1,1.0,9.2,6.00,65
65,"Tre'Darius McCallum, F",DEP,1,25.0,6,6.0,1,1.0,9.6,6.00,66
66,"Markelle Fultz, G",WASH,1,36.0,6,6.0,3,3.0,6.7,2.00,67
67,"Glen Burns, G",CHS,1,17.0,6,6.0,2,2.0,14.1,3.00,68
68,"Austen Awosika, G",CSF,1,22.0,6,6.0,1,1.0,10.9,6.00,69
69,"Deon Barrett, G",UTEP,1,15.0,6,6.0,1,1.0,16.0,6.00,70
70,"Milton Doyle, G",L-IL,3,25.0,17,5.7,6,2.0,9.1,2.83,71
71,"Jaylon Tate, G",ILL,3,23.0,17,5.7,5,1.7,9.9,3.40,72
72,"Nate Mason, G",MINN,3,32.0,17,5.7,10,3.3,7.1,1.70,73
73,"Joe Rahon, G",SMC,2,30.5,11,5.5,1,0.5,7.2,11.00,74
74,"Chris Jones, G",PITT,2,34.0,11,5.5,2,1.0,6.5,5.50,75
75,"J.J. Frazier, G",UGA,2,33.0,11,5.5,7,3.5,6.7,1.57,76
76,"Amadi Udenyi, G",PEPP,2,30.5,11,5.5,2,1.0,7.2,5.50,77
77,"Troy Caupain, G",CIN,2,31.0,11,5.5,4,2.0,7.1,2.75,78
78,"Alex Robinson, G",TCU,2,28.5,11,5.5,5,2.5,7.7,2.20,79
79,"Lindsey Drew, G",NEV,2,31.0,11,5.5,4,2.0,7.1,2.75,80
80,"Lamarr Kimble, G",JOES,2,33.5,11,5.5,4,2.0,6.6,2.75,81
81,"Marcus LoVett, G",SJU,2,29.0,11,5.5,4,2.0,7.6,2.75,82
82,"Corey Sanders, G",RUTG,2,28.0,11,5.5,6,3.0,7.9,1.83,83
83,"Davonta Jordan, G",BUFF,2,25.0,11,5.5,6,3.0,8.8,1.83,84
84,"Kedar Edwards, F",UTM,3,31.0,16,5.3,10,3.3,6.9,1.60,85
85,"Bryant McIntosh, G",NW,3,34.0,16,5.3,8,2.7,6.3,2.00,86
86,"Malcolm Drumwright, G",JVST,3,31.0,16,5.3,12,4.0,6.9,1.33,87
87,"Malik Maitland, G",MORE,3,24.7,16,5.3,5,1.7,8.6,3.20,88
88,"Junior Lomomba, G",WKU,2,30.5,10,5.0,7,3.5,6.6,1.43,89
89,"Chris Reyes, F",PEPP,2,34.5,10,5.0,7,3.5,5.8,1.43,90
90,"Sterling Brown, G",SMU,2,28.5,10,5.0,7,3.5,7.0,1.43,91
91,"Nigel Hayes, F",WIS,2,30.0,10,5.0,3,1.5,6.7,3.33,92
92,"Ike Iroegbu, G",WSU,2,31.5,10,5.0,5,2.5,6.3,2.00,93
93,"Sam Singer, G",CAL,2,35.5,10,5.0,2,1.0,5.6,5.00,94
94,"Scoochie Smith, G",DAY,2,29.5,10,5.0,6,3.0,6.8,1.67,95
95,"Paris Lee, G",ILST,2,31.0,10,5.0,11,5.5,6.5,0.91,96
96,"Marcus Jackson, G",RICE,2,27.0,10,5.0,4,2.0,7.4,2.50,97
97,"Brian Greene Jr., G",CHS,1,20.0,5,5.0,2,2.0,10.0,2.50,98
98,"Geno Thorpe, G",USF,1,35.0,5,5.0,3,3.0,5.7,1.67,99
99,"Isaiah Johnson, C",AKR,1,26.0,5,5.0,2,2.0,7.7,2.50,100
