,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK
14,"Lucas Nutt, G",SEMO,32,28.9,191,6.0,71,2.2,8.3,2.69,15
15,"Christopher Anderson, G",USD,32,33.2,189,5.9,84,2.6,7.1,2.25,16
16,"Jamel Waters, G",ALST,30,35.1,176,5.9,71,2.4,6.7,2.48,17
17,"Sidney Sanders Jr., G",FDU,31,33.6,181,5.8,78,2.5,7.0,2.32,18
18,"Pierria Henry, G",CHAR,30,33.8,175,5.8,99,3.3,6.9,1.77,19
19,"DeAndre Kane, G",ISU,33,34.1,192,5.8,93,2.8,6.8,2.06,20
20,"Juwan Staten, G",WVU,32,37.3,186,5.8,66,2.1,6.2,2.82,21
21,"Bryce Cotton, G",PROV,34,39.9,197,5.8,82,2.4,5.8,2.40,22
22,"Justin Cobbs, G",CAL,32,34.4,184,5.8,79,2.5,6.7,2.33,23
23,"Brian Voelkel, F",UVM,32,30.4,184,5.8,78,2.4,7.6,2.36,24
24,"Langston Hall, G",MER,34,31.9,190,5.6,81,2.4,7.0,2.35,25
25,"Rodney Glasgow, G",VMI,31,36.8,173,5.6,56,1.8,6.1,3.09,26
26,"Tyler Ennis, G",SYR,32,35.6,178,5.6,55,1.7,6.3,3.24,27
27,"Damarius Smith, G",PEAY,25,29.5,139,5.6,96,3.8,7.5,1.45,28
28,"Marquis Wright, G",SIE,32,34.7,177,5.5,96,3.0,6.4,1.84,29
29,"T.J. McConnell, G",ARIZ,34,31.9,187,5.5,61,1.8,6.9,3.07,30
30,"Tim Frazier, G",PSU,32,35.1,176,5.5,91,2.8,6.3,1.93,31
31,"L.J. Rose, G",HOU,28,28.4,154,5.5,65,2.3,7.7,2.37,32
32,"Cameron Payne, G",MURR,29,32.6,159,5.5,96,3.3,6.7,1.66,33
33,"Kareem Canty, G",MRSH,33,36.7,180,5.5,121,3.7,5.9,1.49,34
34,"Julian Norfleet, G",MSM,32,32.4,174,5.4,94,2.9,6.7,1.85,35
35,"Brett Comer, G",FGCU,34,30.9,184,5.4,103,3.0,7.0,1.79,36
36,"Reece Chamberlain, G",BEL,28,31.9,150,5.4,75,2.7,6.7,2.00,37
37,"Keith Shamburger, G",HAW,31,32.3,166,5.4,62,2.0,6.6,2.68,38
38,"Anthony Ireland, G",LMU,32,35.8,171,5.3,90,2.8,6.0,1.90,39
39,"Jarod Oldham, G",BUFF,29,31.2,153,5.3,83,2.9,6.8,1.84,40
40,"John Jordan, G",AMCC,30,34.0,158,5.3,84,2.8,6.2,1.88,41
41,"Fred VanVleet, G",WICH,34,31.7,179,5.3,46,1.4,6.6,3.89,42
42,"Chris Fowler, G",CMU,31,33.1,163,5.3,87,2.8,6.4,1.87,43
43,"Delon Wright, G",UTAH,32,36.4,167,5.2,78,2.4,5.7,2.14,44
44,"Billy Baron, G",CAN,33,38.9,172,5.2,96,2.9,5.4,1.79,45
45,"Madarious Gibbs, G",TXSO,33,34.7,171,5.2,97,2.9,6.0,1.76,46
46,"Naadir Tharpe, G",KU,32,29.8,165,5.2,64,2.0,6.9,2.58,47
47,"Zalmico Harmon, G",UCSB,30,30.8,153,5.1,33,1.1,6.6,4.64,48
48,"Drew Brandon, G",EWU,30,33.4,152,5.1,74,2.5,6.1,2.05,49
49,"Kareem Storey, G",MORE,31,29.8,157,5.1,107,3.5,6.8,1.47,50
50,"T.J. Bray, G",PRIN,24,35.2,120,5.0,41,1.7,5.7,2.93,51
51,"Kenny Chery, G",BAY,34,28.9,169,5.0,69,2.0,6.9,2.45,52
52,"Charlon Kloof, G",SBON,33,33.5,164,5.0,75,2.3,5.9,2.19,53
53,"Shabazz Napier, G",CONN,34,34.9,168,4.9,93,2.7,5.7,1.81,54
54,"Kendall Williams, G",UNM,33,35.2,163,4.9,66,2.0,5.6,2.47,55
55,"Tyler Strange, G",WEBB,33,32.3,163,4.9,59,1.8,6.1,2.76,56
56,"Jamel Fuentes, G",NORF,33,25.8,162,4.9,63,1.9,7.6,2.57,57
57,"Keifer Sykes, G",GB,30,34.3,147,4.9,64,2.1,5.7,2.30,58
58,"Eric Atkins, G",ND,32,37.8,156,4.9,61,1.9,5.2,2.56,59
59,"Nimrod Hilliard, G",LAM,30,34.9,146,4.9,80,2.7,5.6,1.83,60
60,"Jeremiah Samarrippas, G",TNTC,32,30.4,154,4.8,95,3.0,6.3,1.62,61
61,"Nic Moore, G",SMU,32,31.8,154,4.8,78,2.4,6.1,1.97,62
62,"Alex Caruso, G",TAMU,32,29.8,154,4.8,77,2.4,6.5,2.00,63
63,"Jordair Jett, G",SLU,32,31.3,153,4.8,92,2.9,6.1,1.66,64
64,"Devin Wilson, G",VT,31,34.9,148,4.8,90,2.9,5.5,1.64,65
65,"Dee Davis, G",XAV,31,31.0,147,4.7,60,1.9,6.1,2.45,66
66,"Frantz Massenat, G",DREX,30,36.8,142,4.7,57,1.9,5.1,2.49,67
67,"Tevin Hammond, G",ARPB,31,35.5,146,4.7,118,3.8,5.3,1.24,68
68,"Aaron Craft, G",OSU,34,34.3,160,4.7,85,2.5,5.5,1.88,69
69,"Vince Martin, G",JAC,30,32.5,141,4.7,54,1.8,5.8,2.61,70
70,"Siyani Chambers, G",HARV,30,34.1,141,4.7,68,2.3,5.5,2.07,71
71,"Marcus Smart, G",OKST,30,32.5,141,4.7,76,2.5,5.8,1.86,72
72,"Jayon James, F",ULM,26,31.6,122,4.7,67,2.6,5.9,1.82,73
73,"Johnathan Loyd, G",ORE,32,25.2,150,4.7,59,1.8,7.4,2.54,74
74,"Russ Smith, G",LOU,34,28.7,159,4.7,90,2.6,6.5,1.77,75
75,"Jehvon Clarke, G",BGSU,32,36.4,149,4.7,117,3.7,5.1,1.27,76
76,"Jordan Woodard, G",OKLA,32,27.9,149,4.7,68,2.1,6.7,2.19,77
77,"Keith Appling, G",MSU,31,32.0,144,4.6,65,2.1,5.8,2.22,78
78,"Steven Kaspar, G",BUCK,30,24.4,139,4.6,71,2.4,7.6,1.96,79
79,"DJ Cole, G",YSU,31,29.5,143,4.6,59,1.9,6.3,2.42,80
80,"Tweety Knight, G",MTSU,33,28.0,152,4.6,92,2.8,6.6,1.65,81
81,"Mikh McKinney, G",SAC,30,34.6,138,4.6,68,2.3,5.3,2.03,82
82,"Kyle Collinsworth, G",BYU,34,33.4,156,4.6,89,2.6,5.5,1.75,83
83,"Alex Young, G",UCI,34,28.6,156,4.6,67,2.0,6.4,2.33,84
84,"Will Cummings, G",TEM,29,34.4,132,4.6,65,2.2,5.3,2.03,85
85,"Joe Jackson, G",MEM,32,33.1,145,4.5,67,2.1,5.5,2.16,86
86,"Alec Wintering, G",PORT,27,27.7,122,4.5,55,2.0,6.5,2.22,87
87,"Jake Odum, G",INST,33,32.2,149,4.5,61,1.8,5.6,2.44,88
88,"Jahii Carson, G",ASU,32,35.3,144,4.5,110,3.4,5.1,1.31,89
89,"Austin Chatman, G",CREI,33,29.9,148,4.5,57,1.7,6.0,2.60,90
90,"Donivine Stewart, G",SIUE,31,32.5,139,4.5,62,2.0,5.5,2.24,91
91,"Kyan Anderson, G",TCU,31,34.9,139,4.5,90,2.9,5.1,1.54,92
92,"Jeremy Major, G",PEPP,31,30.2,138,4.5,69,2.2,5.9,2.00,93
93,"Deonte Burton, G",NEV,32,38.6,142,4.4,65,2.0,4.6,2.18,94
94,"Austin Tillotson, G",COLG,30,34.0,133,4.4,64,2.1,5.2,2.08,95
95,"DeAndre Mathieu, G",MINN,33,30.4,146,4.4,86,2.6,5.8,1.70,96
96,"Devonta White, G",GAST,33,32.9,145,4.4,57,1.7,5.3,2.54,97
97,"Kendrick Perry, G",YSU,32,36.5,140,4.4,60,1.9,4.8,2.33,98
98,"John-Caleb Sanders, G",LIB,32,30.7,140,4.4,79,2.5,5.7,1.77,99
99,"Halil Kanacevic, C",JOES,33,31.8,144,4.4,95,2.9,5.5,1.52,100
0,"Jalan West, G",NWST,31,34.4,239,7.7,89,2.9,9.0,2.69,1
1,"Kris Dunn, G",PROV,32,34.1,243,7.6,131,4.1,8.9,1.85,2
2,"Kay Felder, G",OAK,32,38.5,241,7.5,133,4.2,7.8,1.81,3
3,"Tyler Strange, G",WEBB,34,34.2,252,7.4,82,2.4,8.7,3.07,4
4,"Speedy Smith, G",LT,33,33.2,241,7.3,79,2.4,8.8,3.05,5
5,"Brett Comer, G",FGCU,32,32.0,229,7.2,78,2.4,8.9,2.94,6
6,"Jerian Grant, G",ND,34,36.6,226,6.6,73,2.1,7.3,3.10,7
7,"Christopher Anderson, G",USD,30,32.4,197,6.6,85,2.8,8.1,2.32,8
8,"Juan'ya Green, G",HOF,33,36.5,215,6.5,85,2.6,7.1,2.53,9
9,"T.J. McConnell, G",ARIZ,34,29.9,218,6.4,67,2.0,8.6,3.25,10
10,"Nimrod Hilliard, G",NCCU,30,35.2,191,6.4,86,2.9,7.2,2.22,11
11,"Dee Davis, G",XAV,34,32.5,209,6.1,81,2.4,7.6,2.58,12
12,"Chris Fowler, G",CMU,31,34.0,188,6.1,87,2.8,7.1,2.16,13
13,"Reece Chamberlain, G",BEL,32,31.2,194,6.1,81,2.5,7.8,2.40,14
14,"Rakiya Battle, G",AAMU,29,29.6,174,6.0,86,3.0,8.1,2.02,15
15,"Shannon Scott, G",OSU,33,30.1,196,5.9,76,2.3,7.9,2.58,16
16,"Nigel Williams-Goss, G",WASH,30,36.8,177,5.9,85,2.8,6.4,2.08,17
17,"Kyle Collinsworth, G",BYU,32,31.0,187,5.8,91,2.8,7.5,2.05,18
18,"Kahron Ross, G",LEH,30,31.6,175,5.8,70,2.3,7.4,2.50,19
19,"Cameron Payne, G",MURR,32,32.4,186,5.8,79,2.5,7.2,2.35,20
20,"Phil Gaetano, G",SHU,32,30.9,185,5.8,84,2.6,7.5,2.20,21
21,"Tyus Jones, G",DUKE,33,33.4,190,5.8,68,2.1,6.9,2.79,22
22,"Alec Wintering, G",PORT,32,32.2,183,5.7,80,2.5,7.1,2.29,23
23,"Alex Caruso, G",TAMU,31,31.2,173,5.6,95,3.1,7.1,1.82,24
24,"Eric Washington, G",M-OH,32,32.2,176,5.5,108,3.4,6.8,1.63,25
25,"Pierria Henry, G",CHAR,32,31.3,173,5.4,79,2.5,6.9,2.19,26
26,"Nick Lindner, G",LAF,30,32.0,161,5.4,56,1.9,6.7,2.88,27
27,"Roderick Bobbitt, G",HAW,35,33.0,187,5.3,96,2.7,6.5,1.95,28
28,"Mike Scott, G",IDHO,30,30.0,160,5.3,48,1.6,7.1,3.33,29
29,"Fred VanVleet, G",WICH,32,31.0,170,5.3,53,1.7,6.9,3.21,30
30,"Delon Wright, G",UTAH,32,33.1,169,5.3,57,1.8,6.4,2.96,31
31,"Brent Jones, G",SFNY,34,34.0,179,5.3,116,3.4,6.2,1.54,32
32,"Jamel Waters, G",ALST,29,32.4,152,5.2,71,2.4,6.5,2.14,33
33,"Anthony Collins, G",USF,32,33.9,167,5.2,76,2.4,6.2,2.20,34
34,"Nic Moore, G",SMU,33,34.5,172,5.2,85,2.6,6.0,2.02,35
35,"Monte Morris, G",ISU,33,33.8,172,5.2,35,1.1,6.2,4.91,36
36,"Travis Trice, G",MSU,34,32.9,176,5.2,58,1.7,6.3,3.03,37
37,"John Jordan, G",AMCC,32,35.7,165,5.2,84,2.6,5.8,1.96,38
38,"James Robinson, G",PITT,33,33.9,169,5.1,55,1.7,6.0,3.07,39
39,"D'Angelo Russell, G",OSU,33,33.5,168,5.1,97,2.9,6.1,1.73,40
40,"Marquis Wright, G",SIE,31,36.6,157,5.1,78,2.5,5.5,2.01,41
41,"A.J. English, G",IONA,33,37.3,166,5.0,120,3.6,5.4,1.38,42
