,Draft_Yr,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per_48,BPM,VORP
54,1995,53.0,LAC,Constantin Popa,University of Miami,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1995,54.0,SEA,Aurelijius Zukauskas,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1995,55.0,GSW,Michael McDonald,University of New Orleans,1,1,4,0,1,0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,-0.1,-0.638,-23.4,0.0
57,1995,56.0,PHO,Chris Carr,Southern Illinois University,6,297,4505,1988,658,294,0.416,0.338,0.807,15.2,6.7,2.2,1.0,3.9,0.042,-4.1,-2.4
58,1995,57.0,ATL,Cuonzo Martin,Purdue University,2,7,32,9,3,3,0.25,0.6,0.0,4.6,1.3,0.4,0.4,-0.1,-0.151,-8.6,-0.1
59,1995,58.0,DET,Don Reid,Georgetown University,8,403,5374,1454,1169,143,0.53,0.0,0.658,13.3,3.6,2.9,0.4,13.7,0.123,-0.2,2.4
0,1996,1.0,PHI,Allen Iverson,Georgetown University,14,914,37584,24368,3394,5624,0.425,0.313,0.78,41.1,26.7,3.7,6.2,99.0,0.126,2.7,44.1
1,1996,2.0,TOR,Marcus Camby,University of Massachusetts Amherst,17,973,28684,9262,9513,1837,0.466,0.205,0.67,29.5,9.5,9.8,1.9,81.6,0.137,2.9,35.6
2,1996,3.0,VAN,Shareef Abdur-Rahim,University of California,12,830,28882,15028,6239,2109,0.472,0.297,0.81,34.8,18.1,7.5,2.5,71.2,0.118,0.9,21.1
3,1996,4.0,MIL,Stephon Marbury,Georgia Institute of Technology,13,846,31891,16297,2516,6471,0.433,0.325,0.784,37.7,19.3,3.0,7.6,77.5,0.117,1.2,25.6
