,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
58,4.0,17.8,0.0,0.0,121.0,0.0,15.0,121.0,5.07,70.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Chris Silva,SC,False
59,4.0,36.0,2.0,0.0,121.0,2.5,12.0,100.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Cody Helgeland,JAC,False
60,3.0,24.0,1.66666666667,0.0,121.0,4.44,6.0,40.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Craig Bowman,FAMU,False
61,2.0,24.5,0.5,0.0,121.0,4.08,6.0,54.0,3.27,96.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.0,6.5,15.5,70.0,D.J. Johnson,KSU,False
62,4.0,30.0,0.0,0.0,121.0,0.0,9.0,121.0,3.33,40.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.3,7.3,12.7,66.0,D.J. Wilson,MICH,False
63,3.0,16.0,0.0,0.0,121.0,0.0,8.0,121.0,7.5,23.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,DaRohn Scott,CMU,False
64,3.0,19.3,2.33333333333,0.0,121.0,4.83,7.0,92.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dachon Burke,RMU,False
65,3.0,22.3,1.66666666667,0.0,121.0,4.18,5.0,82.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dainan Swoope,ELON,False
66,4.0,32.0,3.0,7.5,39.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dajuan Graf,NCCU,False
67,3.0,27.7,0.0,0.0,121.0,0.0,8.0,121.0,3.37,51.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dakarai Allen,SDSU,False
68,4.0,31.3,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,24.0,0.448,0.381,0.966,22.0,14.5,10.5,7.3,0.0,0.0,0.0,121.0,Damon Lynn,NJIT,False
69,3.0,17.3,0.0,0.0,121.0,0.0,9.0,121.0,5.38,50.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Damonte Dodd,MD,False
70,4.0,17.5,0.0,0.0,121.0,0.0,8.0,121.0,5.14,67.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dan Jech,SDAK,False
71,4.0,16.0,0.0,0.0,121.0,0.0,16.0,121.0,5.63,66.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Dan Robinson,NORF,False
72,4.0,30.3,1.25,8.6,23.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Daniel Fowler,FUR,False
73,3.0,16.3,2.0,0.0,121.0,5.71,7.0,78.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Daniel Peace,TROY,False
74,3.0,17.3,0.0,0.0,121.0,0.0,3.0,121.0,6.15,39.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Danny Pippen,KENT,False
75,3.0,26.3,1.66666666667,0.0,121.0,3.54,9.0,84.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Daryl Macon,ARK,False
76,3.0,24.3,1.66666666667,11.5,16.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,David Cohn,W&M;,False
77,4.0,32.8,3.0,0.0,121.0,2.75,14.0,99.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,David Nichols,ALBY,False
78,2.0,25.0,3.0,8.8,70.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Davonta Jordan,BUFF,False
79,3.0,30.7,2.66666666667,9.1,18.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,De'Aaron Fox,UK,False
