,GP,MPG,TOPG,AP40M,RK_AST,STP40M,PF,RK_STL,BLKP40M,RK_BLK,PTS,FG%,3P%,FT%,RK_SCO,FGA,3PA,FTA,ORPG,DRPG,RP40,RK_REB,PLAYER,TEAM,allstar
263,30.0,29.8,1.83870967742,0.0,121.0,2.45,76.0,92.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.6,5.1,10.8,118.0,Armond Williams,UIC,False
264,28.0,35.1,3.71428571429,5.8,46.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Armondo Surratt,SF,False
265,31.0,21.0,0.0,0.0,121.0,0.0,78.5,121.0,2.66,116.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Arnaud Dahi,ODU,False
266,30.0,30.35,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.5,5.85,12.35,45.5,Arnett Moultrie,UTEP,False
267,31.0,32.9,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,16.7,0.467,0.379,0.77,116.0,12.6,6.5,3.2,0.0,0.0,0.0,121.0,Arron Afflalo,UCLA,False
268,31.0,28.9,1.73333333333,0.0,121.0,2.92,66.5,31.5,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.125,6.9,13.8,24.25,Arsalan Kazemi,RICE,False
269,30.6666666667,31.0,0.0,0.0,121.0,0.0,87.3333333333,121.0,2.38,52.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.13333333333,5.06666666667,10.6333333333,83.3333333333,Arthur Johnson,MIZ,False
270,31.5,33.0,0.0,0.0,121.0,0.0,69.0,121.0,2.42,43.0,21.4,0.581,0.25,0.562,14.0,13.9,0.4,9.1,4.6,7.75,14.85,5.0,Artsiom Parakhouski,RAD,False
271,30.0,29.8,0.0,0.0,121.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.8,7.4,13.6,17.0,Arturas Valeika,WEB,False
272,27.6666666667,26.7666666667,0.0,0.0,121.0,0.0,103.333333333,121.0,2.94,58.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,3.4,5.3,10.7,54.0,Arturo Dubois,MAN,False
