,Draft_Yr,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per_48,BPM,VORP
0,2009,1.0,LAC,Blake Griffin,University of Oklahoma,7,421,14840,9023,4031,1699,0.52,0.262,0.662,35.2,21.4,9.6,4.0,56.5,0.183,4.1,23.0
1,2009,2.0,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,0.567,0.0,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4
2,2009,3.0,OKC,James Harden,Arizona State University,8,544,18114,11565,2513,2746,0.444,0.368,0.855,33.3,21.3,4.6,5.0,78.9,0.209,5.5,34.1
3,2009,4.0,SAC,Tyreke Evans,University of Memphis,7,433,14445,7220,2117,2293,0.446,0.288,0.757,33.4,16.7,4.9,5.3,23.1,0.077,0.9,10.7
4,2009,5.0,MIN,Ricky Rubio,,6,283,8903,2854,1216,2346,0.369,0.319,0.811,31.5,10.1,4.3,8.3,17.5,0.094,1.4,7.6
5,2009,6.0,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7
6,2009,7.0,GSW,Stephen Curry,Davidson College,8,505,17585,11361,2186,3452,0.478,0.445,0.902,34.8,22.5,4.3,6.8,73.2,0.2,6.2,36.3
7,2009,8.0,NYK,Jordan Hill,University of Arizona,8,404,7656,3226,2381,322,0.497,0.136,0.699,19.0,8.0,5.9,0.8,16.5,0.103,-1.9,0.1
8,2009,9.0,TOR,DeMar DeRozan,University of Southern California,8,531,18023,9768,2087,1404,0.444,0.283,0.824,33.9,18.4,3.9,2.6,37.1,0.099,-1.1,4.0
9,2009,10.0,MIL,Brandon Jennings,,8,470,15047,7219,1462,2754,0.389,0.349,0.798,32.0,15.4,3.1,5.9,28.3,0.09,0.9,10.9
10,2009,11.0,NJN,Terrence Williams,University of Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-3.8,-1.4
11,2009,12.0,CHA,Gerald Henderson,Duke University,8,473,12442,5427,1559,911,0.443,0.321,0.79,26.3,11.5,3.3,1.9,16.4,0.063,-2.1,-0.4
12,2009,13.0,IND,Tyler Hansbrough,University of North Carolina,7,428,7233,2881,1808,181,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2.5,-1.0
