,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP40,RK,Year
12,"Joel Bolomboy, F",WEB,30,33.2,107,3.6,199,6.6,306,10.2,12.3,13,2015
13,"Tonye Jekiri, C",MIA,33,30.6,104,3.2,232,7.0,336,10.2,13.3,14,2015
14,"Jerome Hill, F",WEBB,34,33.1,118,3.5,227,6.7,345,10.1,12.3,15,2015
15,"Youssou Ndoye, C",SBON,30,31.9,99,3.3,203,6.8,302,10.1,12.6,16,2015
16,"Anthony Livingston, F",ARST,29,35.8,77,2.7,214,7.4,291,10.0,11.2,17,2015
17,"Christian Wood, F",UNLV,33,32.7,94,2.8,235,7.1,329,10.0,12.2,18,2015
18,"Angel Delgado, F",HALL,31,28.2,112,3.6,193,6.2,305,9.8,14.0,19,2015
19,"Egidijus Mockevicius, C",EVAN,29,28.4,66,2.3,219,7.6,285,9.8,13.9,20,2015
20,"Jordan Mickey, F",LSU,30,34.8,96,3.2,198,6.6,294,9.8,11.3,21,2015
21,"Kameron Woods, F",BUT,32,30.7,96,3.0,217,6.8,313,9.8,12.7,22,2015
22,"Cinmeon Bowers, F",AUB,34,30.1,123,3.6,203,6.0,326,9.6,12.7,23,2015
23,"RaShid Gaston, F",NORF,31,30.9,103,3.3,193,6.2,296,9.5,12.4,24,2015
24,"Charles Jackson, C",TNTC,30,27.2,111,3.7,175,5.8,286,9.5,14.0,25,2015
25,"Montrezl Harrell, F",LOU,31,34.6,103,3.3,192,6.2,295,9.5,11.0,26,2015
26,"Cady Lalanne, C",UMASS,32,29.0,110,3.4,194,6.1,304,9.5,13.1,27,2015
27,"David Laury, F",IONA,33,35.3,81,2.5,231,7.0,312,9.5,10.7,28,2015
28,"Justin Moss, F",BUFF,32,30.0,91,2.8,205,6.4,296,9.3,12.3,29,2015
29,"Vince Hunter, F",UTEP,32,28.7,83,2.6,212,6.6,295,9.2,12.9,30,2015
30,"Jarell Martin, F",LSU,32,35.0,96,3.0,198,6.2,294,9.2,10.5,31,2015
31,"Steve Zack, C",LAS,33,31.2,89,2.7,214,6.5,303,9.2,11.8,32,2015
32,"Kevon Looney, F",UCLA,33,30.8,111,3.4,191,5.8,302,9.2,11.9,33,2015
33,"Branden Dawson, F",MSU,30,30.0,90,3.0,184,6.1,274,9.1,12.2,34,2015
34,"Rakeem Christmas, F",SYR,31,34.3,97,3.1,185,6.0,282,9.1,10.6,35,2015
35,"Jahlil Okafor, C",DUKE,32,30.5,125,3.9,163,5.1,288,9.0,11.8,36,2015
36,"Brad Waldow, F",SMC,30,34.6,85,2.8,185,6.2,270,9.0,10.4,37,2015
37,"Jeffrey Solarin, F",IDST,30,31.9,110,3.7,158,5.3,268,8.9,11.2,38,2015
38,"Javonte Green, F",RAD,32,26.3,90,2.8,193,6.0,283,8.8,13.5,39,2015
39,"Devin Thomas, F",WAKE,32,27.2,82,2.6,200,6.3,282,8.8,13.0,40,2015
40,"Brandon Peel, F",CCSU,31,33.1,99,3.2,173,5.6,272,8.8,10.6,41,2015
41,"Kyle Collinsworth, G",BYU,32,31.0,80,2.5,199,6.2,279,8.7,11.2,42,2015
42,"Rafael Maia, F",BRWN,30,30.1,98,3.3,162,5.4,260,8.7,11.5,43,2015
43,"Tim Kempton, C",LEH,30,28.9,56,1.9,204,6.8,260,8.7,12.0,44,2015
44,"Bobby Portis, F",ARK,34,29.6,120,3.5,174,5.1,294,8.6,11.7,45,2015
45,"Ryan Rhoomes, F",FOR,31,29.8,104,3.4,164,5.3,268,8.6,11.6,46,2015
46,"Ryan Taylor, F",MRSH,32,28.8,60,1.9,215,6.7,275,8.6,12.0,47,2015
47,"Shonn Miller, F",COR,30,31.3,28,0.9,226,7.5,254,8.5,10.8,48,2015
48,"Terry Tarpey, G",W&M;,31,31.3,40,1.3,222,7.2,262,8.5,10.8,49,2015
49,"Daniel Ochefu, F",NOVA,34,24.0,90,2.6,195,5.7,285,8.4,14.0,50,2015
50,"Corey Petros, F",OAK,32,36.1,107,3.3,161,5.0,268,8.4,9.3,51,2015
51,"George Fant, F",WKU,32,28.8,103,3.2,165,5.2,268,8.4,11.7,52,2015
52,"J.D. Weatherspoon, F",TOL,33,31.5,67,2.0,209,6.3,276,8.4,10.6,53,2015
53,"Maurice Daly Ndour, F",OHIO,30,34.9,68,2.3,182,6.1,250,8.3,9.6,54,2015
54,"Jordan Parks, F",NCCU,32,31.3,84,2.6,182,5.7,266,8.3,10.6,55,2015
55,"Jarvis Williams, F",MURR,32,31.2,121,3.8,144,4.5,265,8.3,10.6,56,2015
56,"Taylor Johns, F",UCRV,31,34.4,80,2.6,175,5.6,255,8.2,9.6,57,2015
57,"Dyshawn Pierre, F",DAY,33,32.9,74,2.2,197,6.0,271,8.2,10.0,58,2015
58,"Jaron Blossomgame, F",CLEM,31,30.9,76,2.5,177,5.7,253,8.2,10.6,59,2015
59,"Devin Williams, F",WVU,31,24.7,87,2.8,166,5.4,253,8.2,13.2,60,2015
60,"Jeromie Hill, F",UTSA,30,33.5,73,2.4,171,5.7,244,8.1,9.7,61,2015
61,"Kevin Thomas, F",TROY,28,32.5,99,3.5,128,4.6,227,8.1,10.0,62,2015
62,"Steve McClellan, F",CSF,31,25.4,82,2.6,169,5.5,251,8.1,12.8,63,2015
63,"John Davis, F",TOWS,32,25.6,96,3.0,163,5.1,259,8.1,12.6,64,2015
64,"Jaylen Bond, F",TEM,31,27.2,105,3.4,144,4.6,249,8.0,11.8,65,2015
65,"Thomas van der Mars, C",PORT,32,26.3,87,2.7,170,5.3,257,8.0,12.2,66,2015
66,"Kevin Mays, F",CSB,32,27.8,102,3.2,155,4.8,257,8.0,11.6,67,2015
67,"Rayshaun McGrew, F",STON,34,26.8,95,2.8,177,5.2,272,8.0,11.9,68,2015
68,"Frank Kaminsky III, F",WIS,33,32.9,48,1.5,216,6.5,264,8.0,9.7,69,2015
69,"Michael Holyfield, C",SHSU,33,17.8,103,3.1,161,4.9,264,8.0,18.0,70,2015
70,"Ryan Spangler, F",OKLA,32,31.3,76,2.4,180,5.6,256,8.0,10.2,71,2015
71,"Josh Scott, F",COLO,24,30.8,74,3.1,118,4.9,192,8.0,10.4,72,2015
72,"Stephen Maxwell, F",CSN,33,33.7,108,3.3,155,4.7,263,8.0,9.5,73,2015
73,"Earl Brown, F",SFU,31,35.4,68,2.2,179,5.8,247,8.0,9.0,74,2015
74,"Richaun Holmes, F",BGSU,30,28.9,84,2.8,153,5.1,237,7.9,10.9,75,2015
75,"Nicholas West, F",AAMU,27,31.6,68,2.5,145,5.4,213,7.9,10.0,76,2015
76,"Rashawn Thomas, F",AMCC,32,27.0,91,2.8,161,5.0,252,7.9,11.7,77,2015
77,"Dan Garvin, F",BRY,31,31.0,96,3.1,148,4.8,244,7.9,10.2,78,2015
78,"James Webb III, F",BSU,31,27.3,61,2.0,183,5.9,244,7.9,11.5,79,2015
79,"Tyler Larson, G",SDAK,33,34.6,74,2.2,185,5.6,259,7.8,9.1,80,2015
80,"Stacy Davis, F",PEPP,31,32.1,75,2.4,168,5.4,243,7.8,9.8,81,2015
81,"Marquis Vance, F",ALCN,32,33.6,67,2.1,183,5.7,250,7.8,9.3,82,2015
82,"James Carlton, G",HOW,31,31.6,59,1.9,183,5.9,242,7.8,9.9,83,2015
83,"Matt Tiby, F",MILW,30,29.5,39,1.3,195,6.5,234,7.8,10.6,84,2015
84,"Ronnie Drinnon, F",SFU,28,29.6,80,2.9,137,4.9,217,7.8,10.5,85,2015
85,"Ladarius Tabb, G",AAMU,28,33.1,91,3.3,126,4.5,217,7.8,9.4,86,2015
86,"Brice Johnson, F",UNC,35,24.8,82,2.3,189,5.4,271,7.7,12.5,87,2015
87,"DeAndre Bembry, F",JOES,31,38.6,49,1.6,191,6.2,240,7.7,8.0,88,2015
88,"Tyran de Lattibeaudiere, F",LAM,30,29.8,86,2.9,146,4.9,232,7.7,10.4,89,2015
89,"Maurice Strong, F",ALST,29,27.3,65,2.2,159,5.5,224,7.7,11.3,90,2015
90,"Matt Lopez, C",RID,27,26.8,63,2.3,145,5.4,208,7.7,11.5,91,2015
91,"Pascal Siakam, F",NMSU,33,30.7,109,3.3,145,4.4,254,7.7,10.0,92,2015
92,"Venky Jois, F",EWU,30,31.0,79,2.6,151,5.0,230,7.7,9.9,93,2015
93,"Sam Rowley, F",ALBY,32,33.0,79,2.5,166,5.2,245,7.7,9.3,94,2015
94,"Mike Rostampour, F",OMA,29,24.4,85,2.9,137,4.7,222,7.7,12.5,95,2015
95,"Daniel Hamilton, G",CONN,34,31.4,36,1.1,224,6.6,260,7.6,9.8,96,2015
96,"Antonio Campbell, F",OHIO,30,24.1,57,1.9,172,5.7,229,7.6,12.7,97,2015
97,"Anton Grady, F",CLEV,32,29.5,74,2.3,169,5.3,243,7.6,10.3,98,2015
98,"Sir'Dominic Pointer, G",SJU,32,34.5,63,2.0,180,5.6,243,7.6,8.8,99,2015
99,"Emmy Andujar, F",MAN,31,32.0,85,2.7,150,4.8,235,7.6,9.5,100,2015
0,"Egidijus Mockevicius, C",EVAN,34,31.8,85,2.5,391,11.5,476,14.0,17.6,1,2016
1,"Rokas Gustys, C",HOF,33,30.2,138,4.2,291,8.8,429,13.0,17.2,2,2016
2,"Joel Bolomboy, F",WEB,32,31.4,106,3.3,299,9.3,405,12.7,16.1,3,2016
3,"Shawn Long, F",ULL,31,31.1,127,4.1,259,8.4,386,12.5,16.0,4,2016
4,"Chris Horton, C",PEAY,35,33.6,173,4.9,248,7.1,421,12.0,14.3,5,2016
5,"Ben Simmons, F",LSU,33,34.9,103,3.1,285,8.6,388,11.8,13.5,6,2016
6,"Domantas Sabonis, F",GONZ,33,31.4,97,2.9,286,8.7,383,11.6,14.8,7,2016
7,"Pascal Siakam, F",NMSU,33,34.3,126,3.8,256,7.8,382,11.6,13.5,8,2016
8,"Joseph Uchebo, C",CHAR,33,27.9,126,3.8,254,7.7,380,11.5,16.5,9,2016
9,"Derrick Griffin, F",TXSO,26,33.8,128,4.9,163,6.3,291,11.2,13.2,10,2016
10,"Josh Hawkinson, F",WSU,29,33.3,45,1.6,276,9.5,321,11.1,13.3,11,2016
11,"Quinton Chievous, G",HAMP,26,34.3,85,3.3,202,7.8,287,11.0,12.9,12,2016
12,"Ronnie Drinnon, F",SFU,30,32.6,112,3.7,217,7.2,329,11.0,13.5,13,2016
13,"Zach Auguste, F",ND,32,29.7,107,3.3,237,7.4,344,10.8,14.5,14,2016
14,"Jameel Warney, F",STON,32,32.9,141,4.4,201,6.3,342,10.7,13.0,15,2016
15,"James Thompson IV, F",EMU,33,32.1,148,4.5,203,6.2,351,10.6,13.3,16,2016
16,"Shevon Thompson, C",GMU,31,22.5,113,3.6,216,7.0,329,10.6,18.8,17,2016
17,"Brice Johnson, F",UNC,34,27.3,99,2.9,261,7.7,360,10.6,15.5,18,2016
18,"Brett Bisping, F",SIE,33,33.0,79,2.4,269,8.2,348,10.5,12.8,19,2016
19,"Jeremy Combs, F",UNT,31,31.6,107,3.5,218,7.0,325,10.5,13.3,20,2016
20,"Devin Thomas, F",WAKE,29,30.8,89,3.1,207,7.1,296,10.2,13.3,21,2016
21,"Ryan Anderson, F",ARIZ,32,29.1,99,3.1,224,7.0,323,10.1,13.9,22,2016
22,"Antonio Campbell, F",OHIO,32,28.7,69,2.2,250,7.8,319,10.0,13.9,23,2016
23,"Marcel Boyd, G",HOW,28,31.3,85,3.0,192,6.9,277,9.9,12.6,24,2016
24,"Zena Edosomwan, F",HARV,28,26.1,74,2.6,202,7.2,276,9.9,15.1,25,2016
25,"James Kelly, F",MRSH,33,30.6,61,1.8,263,8.0,324,9.8,12.8,26,2016
26,"Charles Mitchell, F",GT,33,25.0,124,3.8,199,6.0,323,9.8,15.7,27,2016
27,"Brian Pegg, F",STET,34,28.7,113,3.3,219,6.4,332,9.8,13.6,28,2016
28,"Henry Ellenson, F",MARQ,33,33.5,71,2.2,250,7.6,321,9.7,11.6,29,2016
29,"Kevin Ferguson, C",ARMY,28,27.6,110,3.9,162,5.8,272,9.7,14.1,30,2016
30,"Brandan Stith, F",ODU,29,27.3,109,3.8,172,5.9,281,9.7,14.2,31,2016
31,"Cinmeon Bowers, F",AUB,30,28.5,64,2.1,225,7.5,289,9.6,13.5,32,2016
32,"Cedric Kuakumensah, F",BRWN,28,29.7,72,2.6,196,7.0,268,9.6,12.9,33,2016
33,"Ryan Rhoomes, F",FOR,30,31.5,124,4.1,162,5.4,286,9.5,12.1,34,2016
34,"Tim Kempton, C",LEH,29,29.8,69,2.4,207,7.1,276,9.5,12.8,35,2016
35,"Angel Delgado, F",HALL,33,30.1,98,3.0,213,6.5,311,9.4,12.5,36,2016
36,"Evan Bradds, F",BEL,31,30.7,67,2.2,225,7.3,292,9.4,12.3,37,2016
37,"Evan Boudreaux, F",DART,27,32.1,64,2.4,190,7.0,254,9.4,11.7,38,2016
38,"Ryan Spangler, F",OKLA,32,33.2,80,2.5,221,6.9,301,9.4,11.3,39,2016
39,"Michael Carey, G",WAG,32,28.9,104,3.3,196,6.1,300,9.4,13.0,40,2016
40,"Anthony Livingston, F",ARST,31,31.0,80,2.6,210,6.8,290,9.4,12.1,41,2016
41,"Moses Kingsley, F",ARK,32,29.5,103,3.2,196,6.1,299,9.3,12.7,42,2016
42,"Dedric Lawson, G",MEM,33,32.4,104,3.2,203,6.2,307,9.3,11.5,43,2016
43,"Cameron Forte, F",PRST,31,29.3,106,3.4,182,5.9,288,9.3,12.7,44,2016
44,"Kaleb Tarczewski, C",ARIZ,25,27.1,63,2.5,169,6.8,232,9.3,13.7,45,2016
45,"Devin Williams, F",WVU,34,25.2,116,3.4,199,5.9,315,9.3,14.7,46,2016
46,"Marc-Eddy Norelia, F",FGCU,33,32.8,101,3.1,203,6.2,304,9.2,11.2,47,2016
47,"Brandon Peel, F",CCSU,29,29.7,89,3.1,176,6.1,265,9.1,12.3,48,2016
48,"Rico Gathers, F",BAY,31,25.8,124,4.0,159,5.1,283,9.1,14.1,49,2016
49,"James Webb III, F",BSU,31,30.6,74,2.4,209,6.7,283,9.1,11.9,50,2016
50,"Martin Breunig, F",MONT,32,30.3,96,3.0,194,6.1,290,9.1,11.9,51,2016
51,"Marvin King-Davis, F",DEL,29,32.3,90,3.1,172,5.9,262,9.0,11.2,52,2016
52,"Dion Wright, F",SBON,30,37.0,84,2.8,187,6.2,271,9.0,9.8,53,2016
53,"Gary Clark, F",CIN,32,30.7,113,3.5,175,5.5,288,9.0,11.7,54,2016
54,"Wayne Martin, F",TNST,29,25.2,92,3.2,169,5.8,261,9.0,14.3,55,2016
55,"Jakob Poeltl, F",UTAH,34,30.4,93,2.7,212,6.2,305,9.0,11.8,56,2016
56,"Nathan Boothe, C",TOL,32,31.5,60,1.9,227,7.1,287,9.0,11.4,57,2016
57,"Drick Bernstine, F",UND,32,29.9,58,1.8,229,7.2,287,9.0,12.0,58,2016
58,"Stacy Davis, F",PEPP,31,34.1,78,2.5,200,6.5,278,9.0,10.5,59,2016
59,"John Konchar, G",IPFW,33,35.5,85,2.6,210,6.4,295,8.9,10.1,60,2016
60,"Tonye Jekiri, C",MIA,32,29.0,90,2.8,196,6.1,286,8.9,12.3,61,2016
61,"Jerome Frink, F",LIU,31,33.0,96,3.1,181,5.8,277,8.9,10.8,62,2016
62,"Jameel McKay, F",ISU,29,30.7,97,3.3,162,5.6,259,8.9,11.6,63,2016
63,"Daniel Hamilton, G",CONN,34,31.7,32,0.9,271,8.0,303,8.9,11.2,64,2016
64,"Venky Jois, F",EWU,31,33.8,58,1.9,217,7.0,275,8.9,10.5,65,2016
65,"Cameron Oliver, F",NEV,32,28.5,92,2.9,191,6.0,283,8.8,12.4,66,2016
66,"Jalen Hayes, F",OAK,31,31.0,71,2.3,202,6.5,273,8.8,11.4,67,2016
67,"Bola Olaniyan, F",SIU,29,23.9,88,3.0,166,5.7,254,8.8,14.7,68,2016
68,"Abdul-Malik Abu, F",NCST,33,28.3,118,3.6,171,5.2,289,8.8,12.4,69,2016
69,"Josh Scott, F",COLO,31,30.4,84,2.7,187,6.0,271,8.7,11.5,70,2016
70,"Sebastian Saiz, F",MISS,26,28.5,79,3.0,148,5.7,227,8.7,12.3,71,2016
71,"Stephen Zimmerman, F",UNLV,26,26.2,56,2.2,171,6.6,227,8.7,13.4,72,2016
72,"Iba Camara, F",UNH,31,22.5,85,2.7,184,5.9,269,8.7,15.4,73,2016
73,"Reggie Upshaw, F",MTSU,33,31.0,95,2.9,191,5.8,286,8.7,11.2,74,2016
74,"Bo Calhoun, F",BALL,32,26.9,77,2.4,200,6.3,277,8.7,12.9,75,2016
75,"Marshall Plumlee, C",DUKE,33,30.6,114,3.5,171,5.2,285,8.6,11.3,76,2016
76,"Adam Woodbury, C",IOWA,31,25.0,97,3.1,168,5.4,265,8.5,13.7,77,2016
77,"Jordan Tolbert, F",SMU,30,26.6,106,3.5,150,5.0,256,8.5,12.8,78,2016
78,"Grandy Glaze, F",GCU,30,26.1,67,2.2,188,6.3,255,8.5,13.0,79,2016
79,"Kevin Larsen, F",GW,33,33.7,100,3.0,180,5.5,280,8.5,10.1,80,2016
80,"Marin Maric, C",NIU,31,26.4,93,3.0,170,5.5,263,8.5,12.8,81,2016
81,"Chinanu Onuaku, C",LOU,31,24.6,91,2.9,172,5.5,263,8.5,13.8,82,2016
82,"Thomas Welsh, C",UCLA,31,26.8,100,3.2,163,5.3,263,8.5,12.6,83,2016
83,"Neal Monson, C",UCD,29,29.0,63,2.2,183,6.3,246,8.5,11.7,84,2016
84,"Ivan Rabb, F",CAL,33,28.4,91,2.8,188,5.7,279,8.5,11.9,85,2016
85,"Alec Peters, F",VALP,32,31.2,86,2.7,184,5.8,270,8.4,10.8,86,2016
86,"Stephon Jelks, F",MER,33,28.9,81,2.5,197,6.0,278,8.4,11.7,87,2016
87,"Jordan Fouse, G",GB,35,31.5,73,2.1,221,6.3,294,8.4,10.7,88,2016
88,"Kyle Collinsworth, G",BYU,33,34.1,83,2.5,194,5.9,277,8.4,9.9,89,2016
89,"Jaylen Bond, F",TEM,30,28.7,98,3.3,151,5.0,249,8.3,11.6,90,2016
90,"Dylan Osetkowski, F",TULN,34,32.4,90,2.6,192,5.6,282,8.3,10.3,91,2016
91,"John Walton III, F",TROY,31,29.3,87,2.8,170,5.5,257,8.3,11.3,92,2016
92,"Tevin Falzon, F",SHU,25,30.5,94,3.8,113,4.5,207,8.3,10.9,93,2016
93,"Matt Tiby, F",MILW,33,30.1,60,1.8,212,6.4,272,8.2,11.0,94,2016
94,"Caleb Swanigan, F",PUR,33,25.8,53,1.6,219,6.6,272,8.2,12.8,95,2016
95,"Dorian Finney-Smith, F",FLA,33,31.7,81,2.5,190,5.8,271,8.2,10.4,96,2016
96,"Lotanna Nwogbo, C",LONG,33,29.9,103,3.1,168,5.1,271,8.2,11.0,97,2016
97,"Tony Parker, F",UCLA,32,25.1,104,3.3,158,4.9,262,8.2,13.1,98,2016
98,"Matt Costello, F",MSU,34,22.7,100,2.9,178,5.2,278,8.2,14.4,99,2016
99,"Quadir Welton, C",SPU,30,31.6,94,3.1,151,5.0,245,8.2,10.3,100,2016
0,"Rokas Gustys, C",HOF,2,35.5,11,5.5,25,12.5,36,18.0,20.3,1,2017
1,"Steve Taylor Jr., F",TOL,2,35.0,4,2.0,26,13.0,30,15.0,17.1,2,2017
2,"Wyatt Walker, C",SAM,2,32.5,8,4.0,21,10.5,29,14.5,17.8,3,2017
3,"Devontae Cacok, F",UNCW,2,28.5,9,4.5,20,10.0,29,14.5,20.4,4,2017
4,"Aubrey Williams, F",KENN,3,32.0,17,5.7,26,8.7,43,14.3,17.9,5,2017
5,"Tacko Fall, C",UCF,2,26.0,10,5.0,18,9.0,28,14.0,21.5,6,2017
6,"Caleb Swanigan, F",PUR,2,29.5,10,5.0,18,9.0,28,14.0,19.0,7,2017
7,"Angel Delgado, F",HALL,3,27.0,14,4.7,27,9.0,41,13.7,20.2,8,2017
8,"Jimmy Hall, F",KENT,2,33.5,11,5.5,16,8.0,27,13.5,16.1,9,2017
9,"Kyle Kuzma, F",UTAH,2,26.0,6,3.0,21,10.5,27,13.5,20.8,10,2017
10,"Nick Banyard, F",UCF,2,34.5,6,3.0,19,9.5,25,12.5,14.5,11,2017
11,"Josh Hawkinson, F",WSU,2,38.5,3,1.5,22,11.0,25,12.5,13.0,12,2017
12,"Novak Topalovic, C",IDST,2,31.0,7,3.5,18,9.0,25,12.5,16.1,13,2017
13,"Dedric Lawson, G",MEM,2,33.0,12,6.0,13,6.5,25,12.5,15.2,14,2017
14,"Josh Nebo, F",SFU,2,27.5,7,3.5,18,9.0,25,12.5,18.2,15,2017
15,"Reid Travis, F",STAN,3,29.3,10,3.3,27,9.0,37,12.3,16.8,16,2017
16,"Obinna Oleka, F",ASU,3,34.0,10,3.3,27,9.0,37,12.3,14.5,17,2017
17,"James Thompson IV, F",EMU,3,29.3,14,4.7,22,7.3,36,12.0,16.4,18,2017
18,"Charles Wilson-Fisher, F",HAMP,2,32.5,9,4.5,15,7.5,24,12.0,14.8,19,2017
19,"Emmanuel Omogbo, F",CSU,2,34.0,7,3.5,17,8.5,24,12.0,14.1,20,2017
20,"Devin Davis, F",HOU,1,25.0,4,4.0,8,8.0,12,12.0,19.2,21,2017
21,"Dan Garvin, F",BRY,1,25.0,3,3.0,9,9.0,12,12.0,19.2,22,2017
22,"Wesley Gordon, F",COLO,3,25.3,10,3.3,25,8.3,35,11.7,18.4,23,2017
23,"Tres Tinkle, F",ORST,3,35.0,4,1.3,31,10.3,35,11.7,13.3,24,2017
24,"Jerome Frink, F",LIU,2,26.5,8,4.0,15,7.5,23,11.5,17.4,25,2017
25,"Eric Mika, F",BYU,2,24.5,11,5.5,12,6.0,23,11.5,18.8,26,2017
26,"Rashawn Thomas, F",AMCC,2,29.0,9,4.5,14,7.0,23,11.5,15.9,27,2017
27,"Ben Lammers, C",GT,2,33.0,7,3.5,16,8.0,23,11.5,13.9,28,2017
28,"Chandler Hutchison, G",BSU,2,31.0,1,0.5,22,11.0,23,11.5,14.8,29,2017
29,"Jo Lual-Acuil Jr., F",BAY,2,30.5,7,3.5,16,8.0,23,11.5,15.1,30,2017
30,"Kennedy Meeks, F",UNC,3,22.0,16,5.3,18,6.0,34,11.3,20.6,31,2017
31,"D.J. Wilson, F",MICH,3,28.0,9,3.0,25,8.3,34,11.3,16.2,32,2017
32,"Josh Martin, F",CP,3,31.3,7,2.3,27,9.0,34,11.3,14.5,33,2017
33,"Jaylen Johnson, F",LOU,3,22.3,16,5.3,18,6.0,34,11.3,20.3,34,2017
34,"Muusa Dama, F",EIU,3,20.0,8,2.7,26,8.7,34,11.3,22.7,35,2017
35,"Wayne Martin, F",TNST,3,30.3,9,3.0,24,8.0,33,11.0,14.5,36,2017
36,"Torry Butler, F",SHSU,3,19.0,7,2.3,26,8.7,33,11.0,23.2,37,2017
37,"Tim Williams, F",UNM,2,32.0,7,3.5,15,7.5,22,11.0,13.8,38,2017
38,"Deonte Burton, G",ISU,2,23.0,3,1.5,19,9.5,22,11.0,19.1,39,2017
39,"Sebastian Saiz, F",MISS,2,27.0,9,4.5,13,6.5,22,11.0,16.3,40,2017
40,"Kahlil Thomas, F",RID,2,32.0,3,1.5,19,9.5,22,11.0,13.8,41,2017
41,"Deontae Hawkins, F",ILST,2,33.0,5,2.5,17,8.5,22,11.0,13.3,42,2017
42,"Ruben Guerrero, C",USF,2,28.0,7,3.5,15,7.5,22,11.0,15.7,43,2017
43,"AJ Brodeur, F",PENN,1,29.0,3,3.0,8,8.0,11,11.0,15.2,44,2017
44,"Zane Najdawi, F",CIT,3,22.3,16,5.3,16,5.3,32,10.7,19.1,45,2017
45,"Brett Bisping, F",SIE,2,34.5,5,2.5,16,8.0,21,10.5,12.2,46,2017
46,"Reggie Upshaw, F",MTSU,2,28.5,6,3.0,15,7.5,21,10.5,14.7,47,2017
47,"Joseph Lopez, F",SHU,2,28.0,8,4.0,13,6.5,21,10.5,15.0,48,2017
48,"Idris Taqqee, G",SBON,2,36.5,12,6.0,9,4.5,21,10.5,11.5,49,2017
49,"Reggie Agbeko, F",SLU,3,28.3,11,3.7,20,6.7,31,10.3,14.6,50,2017
50,"Bryce Washington, F",ULL,3,28.0,13,4.3,18,6.0,31,10.3,14.8,51,2017
51,"Drew Eubanks, F",ORST,3,29.0,8,2.7,23,7.7,31,10.3,14.3,52,2017
52,"TJ Leaf, F",UCLA,3,28.3,10,3.3,21,7.0,31,10.3,14.6,53,2017
53,"Thik Bol, F",SIU,3,24.7,6,2.0,25,8.3,31,10.3,16.8,54,2017
54,"Sheldon Jeter, F",PITT,3,31.7,9,3.0,21,7.0,30,10.0,12.6,55,2017
55,"Tanner Leissner, F",UNH,3,31.7,10,3.3,20,6.7,30,10.0,12.6,56,2017
56,"Keenan Simmons, F",SIUE,3,24.7,11,3.7,19,6.3,30,10.0,16.2,57,2017
57,"Thomas Welsh, C",UCLA,3,27.3,4,1.3,26,8.7,30,10.0,14.6,58,2017
58,"Miles Bowman Jr., F",HP,2,23.0,5,2.5,15,7.5,20,10.0,17.4,59,2017
59,"Dion Wade, G",M-OH,2,22.5,4,2.0,16,8.0,20,10.0,17.8,60,2017
60,"Franko House, F",BALL,2,32.0,6,3.0,14,7.0,20,10.0,12.5,61,2017
61,"Colton Weisbrod, F",LAM,2,29.5,6,3.0,14,7.0,20,10.0,13.6,62,2017
62,"Jimond Ivey, G",AKR,2,21.0,5,2.5,15,7.5,20,10.0,19.0,63,2017
63,"Shawn Johnson, G",IW,2,34.0,2,1.0,18,9.0,20,10.0,11.8,64,2017
64,"Brandon Clarke, F",SJSU,2,33.5,7,3.5,13,6.5,20,10.0,11.9,65,2017
65,"Yoeli Childs, F",BYU,2,21.5,3,1.5,17,8.5,20,10.0,18.6,66,2017
66,"Braden Koelliker, F",CSU,2,32.0,9,4.5,11,5.5,20,10.0,12.5,67,2017
67,"Brayon Blake, F",IDHO,2,26.0,9,4.5,11,5.5,20,10.0,15.4,68,2017
68,"Matt Howard, G",PENN,1,33.0,2,2.0,8,8.0,10,10.0,12.1,69,2017
69,"Tyrell Sturdivant, F",STON,1,28.0,6,6.0,4,4.0,10,10.0,14.3,70,2017
70,"Jaleen Smith, G",UNH,3,38.3,3,1.0,26,8.7,29,9.7,10.1,71,2017
71,"Travis Munnings, F",ULM,3,27.3,5,1.7,24,8.0,29,9.7,14.1,72,2017
72,"Deshawn Freeman, F",RUTG,3,25.3,12,4.0,17,5.7,29,9.7,15.3,73,2017
73,"Alex Murphy, F",NE,2,33.5,4,2.0,15,7.5,19,9.5,11.3,74,2017
74,"Arnaud William Adala Moto, F",TOWS,2,29.5,6,3.0,13,6.5,19,9.5,12.9,75,2017
75,"Mo Jeffers, F",BC,2,22.0,5,2.5,14,7.0,19,9.5,17.3,76,2017
76,"D.J. Johnson, F",KSU,2,24.5,6,3.0,13,6.5,19,9.5,15.5,77,2017
77,"Michael Kessens, F",FIU,2,30.0,5,2.5,14,7.0,19,9.5,12.7,78,2017
78,"Junior Etou, F",TLSA,2,23.5,4,2.0,15,7.5,19,9.5,16.2,79,2017
79,"Isaac Neilson, F",UVU,2,25.5,3,1.5,16,8.0,19,9.5,14.9,80,2017
80,"Fabijan Krslovic, F",MONT,2,32.5,8,4.0,11,5.5,19,9.5,11.7,81,2017
81,"Leon Gilmore III, F",SFA,2,28.0,8,4.0,11,5.5,19,9.5,13.6,82,2017
82,"Everett Clemons, G",INST,2,37.5,3,1.5,16,8.0,19,9.5,10.1,83,2017
83,"K.J. Lawson, G",MEM,2,23.0,8,4.0,11,5.5,19,9.5,16.5,84,2017
