,Draft_Yr,Pk,Tm,PLAYER,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per_48,BPM,VORP,2009_POS,2009_TEAM,2009_GP,2009_MPG,2009_PTS,2009_FGM-FGA,2009_FG%,2009_3PM-3PA,2009_3P%,2009_FTM-FTA,2009_FT%,2010_POS,2010_TEAM,2010_GP,2010_MPG,2010_PTS,2010_FGM-FGA,2010_FG%,2010_3PM-3PA,2010_3P%,2010_FTM-FTA,2010_FT%,2011_POS,2011_TEAM,2011_GP,2011_MPG,2011_PTS,2011_FGM-FGA,2011_FG%,2011_3PM-3PA,2011_3P%,2011_FTM-FTA,2011_FT%,2012_POS,2012_TEAM,2012_GP,2012_MPG,2012_PTS,2012_FGM-FGA,2012_FG%,2012_3PM-3PA,2012_3P%,2012_FTM-FTA,2012_FT%,2013_POS,2013_TEAM,2013_GP,2013_MPG,2013_PTS,2013_FGM-FGA,2013_FG%,2013_3PM-3PA,2013_3P%,2013_FTM-FTA,2013_FT%,2014_POS,2014_TEAM,2014_GP,2014_MPG,2014_PTS,2014_FGM-FGA,2014_FG%,2014_3PM-3PA,2014_3P%,2014_FTM-FTA,2014_FT%,2015_POS,2015_TEAM,2015_GP,2015_MPG,2015_PTS,2015_FGM-FGA,2015_FG%,2015_3PM-3PA,2015_3P%,2015_FTM-FTA,2015_FT%,2016_POS,2016_TEAM,2016_GP,2016_MPG,2016_PTS,2016_FGM-FGA,2016_FG%,2016_3PM-3PA,2016_3P%,2016_FTM-FTA,2016_FT%
35,2009,36.0,MEM,Sam Young,University of Pittsburgh,4,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.9,-0.9,,,,,,,,,,,,SF,MEM,80,16.5,7.4,2.8-6.2,.451,0.1-0.7,.196,1.7-2.2,.777,SF,MEM,78,20.2,7.3,3.0-6.3,.472,0.2-0.6,.340,1.1-1.5,.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2009,37.0,SAS,DeJuan Blair,University of Pittsburgh,7,424,7054,2865,2153,349,0.524,0.0,0.608,16.6,6.8,5.1,0.8,19.0,0.129,0.4,4.2,,,,,,,,,,,,C,SA,82,18.2,7.8,3.4-6.0,.556,0.0-0.0,.000,1.1-2.0,.547,C,SA,81,21.4,8.3,3.6-7.2,.501,0.0-0.0,.000,1.1-1.7,.657,C,SA,64,21.3,9.5,4.2-7.9,.534,0.0-0.0,.000,1.1-1.9,.613,,,,,,,,,,,,C,DAL,78,15.6,6.4,2.7-5.0,.534,0.0-0.0,.000,1.0-1.6,.636,,,,,,,,,,,,,,,,,,,,,,
37,2009,38.0,POR,Jon Brockman,University of Washington,3,150,1570,320,472,49,0.488,0.0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-2.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2009,39.0,DET,Jonas Jerebko,,7,416,7840,2760,1730,322,0.457,0.353,0.767,18.8,6.6,4.2,0.8,17.0,0.104,-0.8,2.3,,,,,,,,,,,,PF,DET,80,27.9,9.3,3.6-7.5,.481,0.5-1.4,.313,1.6-2.2,.710,,,,,,,,,,,,PF,DET,64,22.9,8.7,3.3-7.1,.468,0.5-1.7,.302,1.6-1.9,.806,,,,,,,,,,,,PF,DET,64,11.6,4.2,1.5-3.3,.471,0.5-1.2,.419,0.7-0.9,.729,PF,BOS/DET,75,16.4,6.0,2.3-5.1,.446,0.7-1.9,.386,0.7-0.9,.848,PF,BOS,6,16.8,4.7,1.7-4.8,.345,0.5-1.5,.333,0.8-1.0,.833
39,2009,40.0,CHA,Derrick Brown,Xavier University,3,171,2554,895,413,119,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,CHA,65,22.2,8.1,3.3-6.3,.518,0.1-0.4,.250,1.4-2.2,.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2009,41.0,MIL,Jodie Meeks,University of Kentucky,7,418,10149,4123,905,460,0.422,0.373,0.882,24.3,9.9,2.2,1.1,20.8,0.098,-0.3,4.4,,,,,,,,,,,,,,,,,,,,,,,SG,PHI,74,27.9,10.5,3.3-7.7,.425,1.9-4.7,.397,2.1-2.3,.894,SG,PHI,66,24.9,8.4,2.9-7.1,.409,1.5-4.0,.365,1.2-1.3,.906,SG,LAL,78,21.3,7.9,2.6-6.8,.387,1.6-4.4,.357,1.1-1.2,.896,SG,LAL,77,33.2,15.7,5.4-11.6,.463,2.1-5.2,.401,2.9-3.4,.857,SG,DET,60,24.4,11.1,3.7-8.9,.416,1.2-3.5,.349,2.4-2.7,.906,,,,,,,,,,,
41,2009,42.0,LAL,Patrick Beverley,University of Arkansas,4,224,6232,2069,792,699,0.412,0.373,0.763,27.8,9.2,3.5,3.1,14.3,0.11,1.7,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2009,43.0,MIA,Marcus Thornton,Louisiana State University,8,456,10826,5573,1288,641,0.425,0.358,0.829,23.7,12.2,2.8,1.4,19.5,0.087,-0.7,3.5,,,,,,,,,,,,SG,NO,73,25.6,14.5,5.5-12.1,.451,1.6-4.3,.374,2.0-2.4,.814,SG,NO/SAC,73,24.3,12.8,4.8-11.1,.434,1.2-3.3,.367,2.0-2.5,.788,,,,,,,,,,,,SG,SAC,72,24.0,12.7,4.6-10.8,.429,2.0-5.3,.372,1.5-1.8,.881,SG,BKN/SAC,72,24.2,9.8,3.5-8.9,.394,1.5-4.4,.345,1.3-1.6,.804,,,,,,,,,,,,SG,WSH,6,17.0,7.0,2.7-6.8,.390,0.8-2.7,.313,0.8-1.0,.833
43,2009,44.0,DET,Chase Budinger,University of Arizona,7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3.0,1.2,13.9,0.083,-1.4,1.2,,,,,,,,,,,,SF,HOU,74,20.1,8.9,3.4-7.6,.441,1.2-3.4,.369,0.9-1.2,.770,SF,HOU,78,22.3,9.8,3.6-8.4,.425,1.1-3.5,.325,1.5-1.8,.855,SF,HOU,58,22.4,9.6,3.6-8.1,.442,1.5-3.8,.402,0.9-1.2,.771,,,,,,,,,,,,,,,,,,,,,,,SF,MIN,67,19.2,6.8,2.5-5.8,.433,0.8-2.1,.364,1.0-1.2,.827,,,,,,,,,,,
44,2009,45.0,MIN,Nick Calathes,University of Florida,2,129,2011,590,243,353,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,MEM,71,16.5,4.9,2.0-4.4,.457,0.3-0.9,.311,0.6-1.0,.611,SG,MEM,58,14.4,4.2,1.8-4.3,.421,0.2-0.7,.256,0.4-0.8,.533,,,,,,,,,,,
45,2009,46.0,CLE,Danny Green,University of North Carolina,7,402,9955,3658,1379,637,0.428,0.403,0.819,24.8,9.1,3.4,1.6,27.0,0.13,3.5,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,SA,66,23.1,9.1,3.2-7.2,.442,1.5-3.5,.436,1.2-1.5,.790,SG,SA,80,27.5,10.5,3.7-8.3,.448,2.2-5.2,.429,0.8-1.0,.848,SG,SA,68,24.3,9.1,3.2-7.4,.432,1.9-4.7,.415,0.7-0.9,.794,SG,SA,81,28.5,11.7,4.0-9.1,.436,2.4-5.6,.418,1.4-1.6,.874,,,,,,,,,,,
46,2009,47.0,MIN,Henk Norel,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2009,48.0,PHO,Taylor Griffin,University of Oklahoma,1,8,32,10,2,1,0.4,0.0,0.5,4.0,1.3,0.3,0.1,0.0,-0.039,-7.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2009,49.0,ATL,Sergiy Gladyr,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2009,50.0,UTA,Goran Suton,Michigan State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2009,51.0,SAS,Jack McClinton,University of Miami,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2009,52.0,IND,A.J. Price,University of Connecticut,6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-2.4,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2009,53.0,SAS,Nando De Colo,,2,119,1414,453,211,203,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,SA,72,12.8,3.8,1.5-3.3,.436,0.4-1.1,.378,0.5-0.6,.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2009,54.0,CHA,Robert Vaden,University of Alabama at Birmingham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2009,55.0,POR,Patrick Mills,Saint Mary's College of California,8,368,5887,2786,543,698,0.437,0.392,0.839,16.0,7.6,1.5,1.9,15.5,0.127,0.9,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2009,56.0,DAL,Ahmad Nivins,Saint Joseph's University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2009,57.0,PHO,Emir Preldzic,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2009,58.0,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,-2.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2009,59.0,LAL,Chinemelu Elonu,Texas A&M University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2009,60.0,MIA,Robert Dozier,University of Memphis,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2010,1.0,WAS,John Wall,University of Kentucky,7,427,15367,7723,1917,3827,0.43,0.319,0.79,36.0,18.1,4.5,9.0,32.1,0.1,2.2,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,WSH,66,36.2,16.3,5.7-13.5,.423,0.0-0.6,.071,4.8-6.1,.789,,,,,,,,,,,,PG,WSH,82,36.3,19.3,7.1-16.3,.433,1.3-3.8,.351,3.9-4.8,.805,PG,WSH,79,35.9,17.6,6.6-14.8,.445,0.8-2.7,.300,3.6-4.6,.785,PG,WSH,5,34.4,21.8,8.0-17.2,.465,0.6-2.4,.250,5.2-6.2,.839
61,2010,2.0,PHI,Evan Turner,Ohio State University,7,477,13583,5084,2455,1783,0.431,0.307,0.778,28.5,10.7,5.1,3.7,14.5,0.051,-2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,SG,PHI,78,23.0,7.2,2.9-6.8,.425,0.2-0.6,.318,1.3-1.6,.808,SG,PHI,65,26.4,9.4,4.0-9.1,.446,0.2-0.8,.224,1.1-1.7,.676,SG,PHI,82,35.3,13.3,5.4-12.8,.419,0.7-1.9,.365,1.9-2.5,.740,SG,IND/PHI,81,30.3,14.0,5.4-12.6,.425,0.6-1.9,.321,2.6-3.2,.813,SG,BOS,82,27.6,9.5,3.9-9.1,.429,0.4-1.5,.277,1.3-1.7,.752,SG,POR,8,24.1,6.4,2.5-6.3,.400,0.5-1.1,.444,0.9-1.0,.875
62,2010,3.0,NJN,Derrick Favors,Georgia Institute of Technology,7,436,11327,5072,3181,459,0.511,0.063,0.666,26.0,11.6,7.3,1.1,31.1,0.132,0.8,8.1,,,,,,,,,,,,,,,,,,,,,,,PF,NJ/UTAH,78,19.7,6.8,2.8-5.3,.517,0.0-0.0,.000,1.3-2.2,.595,PF,UTAH,65,21.3,8.8,3.4-6.8,.499,0.0-0.0,.000,1.9-3.0,.649,PF,UTAH,77,23.2,9.4,3.6-7.4,.482,0.0-0.1,.000,2.3-3.4,.688,PF,UTAH,73,30.2,13.3,5.3-10.2,.522,0.0-0.0,.000,2.6-3.9,.669,PF,UTAH,74,30.8,16.0,6.5-12.4,.525,0.0-0.1,.167,3.0-4.5,.669,PF,UTAH,7,23.6,9.9,3.7-9.0,.413,0.0-0.0,.000,2.4-4.3,.567
63,2010,4.0,MIN,Wesley Johnson,Syracuse University,7,436,10739,3539,1477,541,0.408,0.344,0.748,24.6,8.1,3.4,1.2,8.4,0.037,-1.1,2.3,,,,,,,,,,,,,,,,,,,,,,,SF,MIN,79,26.2,9.0,3.4-8.6,.397,1.3-3.7,.356,0.8-1.2,.696,SF,MIN,65,22.6,6.0,2.4-6.1,.398,0.8-2.6,.314,0.4-0.5,.706,,,,,,,,,,,,SF,LAL,79,28.4,9.1,3.5-8.2,.426,1.3-3.4,.369,0.8-1.0,.792,SF,LAL,76,29.5,9.9,3.8-9.1,.414,1.2-3.4,.351,1.2-1.5,.804,SF,LAC,7,13.9,3.0,1.1-3.4,.333,0.6-2.0,.286,0.1-0.1,1.000
64,2010,5.0,SAC,DeMarcus Cousins,University of Kentucky,7,424,13399,8598,4550,1161,0.461,0.286,0.73,31.6,20.3,10.7,2.7,30.7,0.11,1.9,13.3,,,,,,,,,,,,,,,,,,,,,,,C,SAC,81,28.5,14.1,5.3-12.4,.430,0.0-0.2,.167,3.4-5.0,.687,C,SAC,64,30.5,18.1,7.0-15.6,.448,0.0-0.2,.143,4.1-5.8,.702,C,SAC,75,30.5,17.1,6.4-13.8,.465,0.1-0.3,.182,4.2-5.6,.738,C,SAC,71,32.4,22.7,8.3-16.8,.496,0.0-0.1,.000,6.1-8.4,.726,C,SAC,59,34.1,24.1,8.4-18.1,.467,0.0-0.1,.250,7.2-9.2,.782,C,SAC,9,32.7,25.8,8.2-17.0,.484,0.6-2.4,.227,8.8-11.2,.782
65,2010,6.0,GSW,Ekpe Udoh,Baylor University,5,270,4564,1072,860,179,0.429,0.0,0.72,16.9,4.0,3.2,0.7,5.7,0.06,-1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,GS/MIL,61,21.1,5.6,2.1-4.8,.431,0.0-0.0,.000,1.4-1.9,.754,PF,MIL,76,17.3,4.3,1.5-3.5,.435,0.0-0.0,.000,1.2-1.6,.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2010,7.0,DET,Greg Monroe,Georgetown University,7,464,14284,6699,4235,1050,0.508,0.0,0.704,30.8,14.4,9.1,2.3,40.4,0.136,2.1,14.6,,,,,,,,,,,,,,,,,,,,,,,C,DET,80,27.8,9.4,3.8-6.9,.551,0.0-0.0,.000,1.8-2.9,.622,C,DET,66,31.5,15.4,6.2-11.8,.521,0.0-0.0,.000,3.0-4.1,.739,C,DET,81,33.2,16.0,6.3-13.1,.486,0.0-0.0,.000,3.3-4.8,.689,C,DET,82,32.8,15.2,6.1-12.4,.497,0.0-0.0,.000,2.9-4.5,.657,C,DET,69,31.0,15.9,6.1-12.4,.496,0.0-0.0,.000,3.7-4.9,.750,C,MIL,7,21.7,11.1,3.9-8.6,.450,0.0-0.0,.000,3.4-3.7,.923
67,2010,8.0,LAC,Al-Farouq Aminu,Wake Forest University,7,467,10956,3285,2550,553,0.428,0.319,0.725,23.5,7.0,5.5,1.2,15.4,0.067,-0.3,4.8,,,,,,,,,,,,,,,,,,,,,,,SF,LAC,81,17.9,5.6,2.0-5.0,.394,0.6-1.8,.315,1.1-1.5,.773,SF,NO,66,22.4,6.0,2.3-5.5,.411,0.2-0.7,.277,1.3-1.7,.754,SF,NO,76,27.2,7.3,3.0-6.2,.475,0.1-0.3,.211,1.3-1.8,.737,SF,NO,80,25.6,7.2,2.9-6.2,.474,0.2-0.6,.271,1.1-1.7,.664,SF,DAL,74,18.5,5.6,2.0-4.8,.412,0.5-1.7,.274,1.1-1.6,.712,SF,POR,8,26.1,6.4,2.1-7.6,.279,1.1-4.5,.250,1.0-1.9,.533
68,2010,9.0,UTA,Gordon Hayward,Butler University,7,445,13714,6524,1767,1515,0.438,0.359,0.817,30.8,14.7,4.0,3.4,32.9,0.115,1.6,12.4,,,,,,,,,,,,,,,,,,,,,,,SF,UTAH,72,16.9,5.4,2.0-4.1,.485,0.5-1.0,.473,1.0-1.3,.711,SF,UTAH,66,30.4,11.8,4.0-8.9,.456,0.8-2.4,.346,2.9-3.5,.832,SF,UTAH,72,29.2,14.1,4.7-10.7,.435,1.4-3.4,.415,3.4-4.1,.827,SF,UTAH,77,36.4,16.2,5.5-13.4,.413,1.1-3.6,.304,4.0-4.9,.816,SF,UTAH,76,34.4,19.3,6.4-14.3,.445,1.6-4.3,.364,4.9-6.1,.812,,,,,,,,,,,
69,2010,10.0,IND,Paul George,"California State University, Fresno",7,380,12242,6458,2367,1190,0.425,0.366,0.839,32.2,17.0,6.2,3.1,37.8,0.148,3.9,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,IND,66,29.7,12.1,4.3-9.7,.440,1.4-3.5,.385,2.2-2.8,.802,SF,IND,79,37.6,17.4,6.2-14.9,.419,2.2-5.9,.362,2.8-3.5,.807,SF,IND,80,36.2,21.7,7.2-17.0,.424,2.3-6.3,.364,5.0-5.8,.864,,,,,,,,,,,,SF,IND,7,34.1,20.4,7.0-15.1,.462,2.9-6.0,.476,3.6-4.0,.893
70,2010,11.0,NOH,Cole Aldrich,University of Kansas,7,262,2887,947,979,157,0.532,0.0,0.75,11.0,3.6,3.7,0.6,8.4,0.14,1.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,NY,61,16.0,5.5,2.4-4.9,.478,0.0-0.0,.000,0.8-1.0,.781,C,MIN,6,13.0,2.3,1.0-1.8,.545,0.0-0.0,.000,0.3-0.7,.500
71,2010,12.0,MEM,Xavier Henry,University of Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-5.1,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2010,13.0,TOR,Ed Davis,University of North Carolina,7,443,9367,3096,2849,375,0.563,0.0,0.564,21.1,7.0,6.4,0.8,28.9,0.148,1.4,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,TOR,66,23.2,6.3,2.6-5.1,.513,0.0-0.0,.000,1.1-1.6,.670,PF,TOR/MEM,81,20.1,7.7,3.2-6.0,.539,0.0-0.0,.000,1.3-2.1,.617,PF,MEM,63,15.2,5.7,2.5-4.6,.534,0.0-0.0,.000,0.7-1.4,.528,PF,LAL,79,23.3,8.3,3.6-5.9,.601,0.0-0.0,.000,1.2-2.4,.487,PF,POR,8,15.0,2.3,0.9-2.1,.412,0.0-0.0,.000,0.5-0.9,.571
73,2010,14.0,HOU,Patrick Patterson,University of Kentucky,7,418,10019,3332,1976,514,0.464,0.362,0.747,24.0,8.0,4.7,1.2,21.9,0.105,0.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,HOU,64,23.2,7.7,3.5-8.0,.440,0.0-0.0,.000,0.6-0.9,.702,PF,HOU/SAC,71,25.0,10.4,4.5-8.8,.512,0.7-1.9,.386,0.7-0.9,.762,PF,SAC/TOR,65,23.6,8.5,3.5-7.5,.460,0.8-2.3,.364,0.8-1.1,.704,PF,TOR,81,26.6,8.0,3.0-6.6,.449,1.3-3.5,.371,0.8-1.0,.788,PF,TOR,6,30.7,5.2,1.8-6.3,.289,0.5-3.3,.150,1.0-1.5,.667
74,2010,15.0,MIL,Larry Sanders,Virginia Commonwealth University,5,233,4622,1516,1341,174,0.48,0.0,0.55,19.8,6.5,5.8,0.7,10.3,0.107,0.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,MIL,71,27.3,9.8,4.3-8.5,.506,0.0-0.0,.000,1.2-1.9,.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2010,16.0,MIN,Luke Babbitt,"University of Nevada, Reno",7,269,3690,1279,628,163,0.404,0.399,0.75,13.7,4.8,2.3,0.6,4.7,0.062,-2.8,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,NO,63,13.2,4.1,1.5-3.0,.479,0.9-1.8,.513,0.2-0.3,.684,SF,MIA,6,23.0,7.3,2.5-7.2,.349,1.8-5.5,.333,0.5-0.5,1.000
76,2010,17.0,CHI,Kevin Seraphin,,7,380,5909,2302,1332,225,0.484,0.0,0.716,15.6,6.1,3.5,0.6,5.0,0.041,-3.9,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,WSH,57,20.6,7.9,3.6-6.7,.531,0.0-0.0,.000,0.8-1.2,.671,C,WSH,79,21.8,9.1,4.2-9.1,.461,0.0-0.0,.000,0.8-1.1,.693,,,,,,,,,,,,C,WSH,79,15.6,6.6,2.9-5.7,.513,0.0-0.0,.000,0.7-1.0,.707,C,IND,6,6.3,3.0,1.5-2.5,.600,0.0-0.0,.000,0.0-0.3,.000
77,2010,18.0,OKC,Eric Bledsoe,University of Kentucky,7,360,9404,4243,1307,1542,0.448,0.33,0.78,26.1,11.8,3.6,4.3,18.5,0.095,1.6,8.6,,,,,,,,,,,,,,,,,,,,,,,PG,LAC,81,22.7,6.7,2.5-6.0,.424,0.4-1.4,.276,1.2-1.6,.744,,,,,,,,,,,,PG,LAC,76,20.4,8.5,3.3-7.5,.445,0.4-1.0,.397,1.4-1.8,.791,,,,,,,,,,,,PG,PHX,81,34.6,17.0,5.8-12.9,.447,1.1-3.4,.324,4.4-5.4,.800,PG,PHX,8,33.9,19.1,6.6-14.0,.473,1.0-4.1,.242,4.9-6.5,.750
78,2010,19.0,BOS,Avery Bradley,University of Texas at Austin,7,364,10006,4231,982,607,0.439,0.363,0.779,27.5,11.6,2.7,1.7,11.8,0.057,-1.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,BOS,64,21.4,7.6,3.1-6.3,.498,0.3-0.8,.407,1.0-1.2,.795,,,,,,,,,,,,PG,BOS,60,30.9,14.9,6.0-13.8,.438,1.3-3.3,.395,1.5-1.9,.804,PG,BOS,77,31.5,13.9,5.6-13.2,.428,1.6-4.6,.352,1.0-1.3,.790,PG,BOS,6,37.0,19.5,7.8-16.3,.480,2.7-6.0,.444,1.2-1.7,.700
79,2010,20.0,SAS,James Anderson,Oklahoma State University,5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.8,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,PHI,80,28.9,10.1,3.9-9.0,.431,1.4-4.4,.328,1.0-1.3,.726,,,,,,,,,,,,,,,,,,,,,,
80,2010,21.0,OKC,Craig Brackins,Iowa State University,2,17,121,30,19,9,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2010,22.0,POR,Elliot Williams,University of Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-5.3,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,PHI,67,17.3,6.0,2.1-5.0,.415,0.6-1.9,.296,1.3-1.8,.731,,,,,,,,,,,,,,,,,,,,,,
82,2010,23.0,MIN,Trevor Booker,Clemson University,7,400,8147,2610,2109,358,0.515,0.292,0.621,20.4,6.5,5.3,0.9,20.8,0.122,0.4,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,WSH,72,21.6,6.8,3.1-5.6,.551,0.0-0.0,.000,0.7-1.1,.618,PF,UTAH,79,19.8,7.2,2.9-5.9,.487,0.4-1.1,.345,1.1-1.9,.581,PF,BKN,7,26.7,9.7,4.1-8.3,.500,0.0-1.3,.000,1.4-1.9,.769
83,2010,24.0,ATL,Damion James,University of Texas at Austin,4,39,623,150,131,26,0.415,0.0,0.667,16.0,3.8,3.4,0.7,0.0,-0.001,-4.3,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
